trade_id,year,region1,region2,industry1,industry2,amount
9330,2022,CN,CN,OFFIC,OFFIC,744514.61
8294,2022,CN,CN,MOTO1,MOTO1,560715.43
13285,2022,CN,CN,TEXTI,TEXTI,426948.06
710,2022,CN,CN,BASIC,CONST,363136.76
1681,2022,CN,CN,CERAM,CONST,345719.34
4633,2022,CN,CN,FABRI,CONST,296558.76
13293,2022,CN,CN,TEXTI,WEARI,295977.06
10317,2022,CN,CN,PLAST,RUBBE,277395.23
5217,2022,CN,CN,FOOD5,FOOD5,274303.21
690,2022,CN,CN,BASIC,BASIC,273329.20
724,2022,CN,CN,BASIC,FABRI,257854.29
4490,2022,CN,CN,ELECT,CONST,228483.47
1232,2022,CN,CN,BITUM,ELEC1,222990.85
10116,2022,CN,CN,PIGS9,MEATP,183590.18
1599,2022,CN,CN,CEMEN,CONST,177550.97
9059,2022,CN,CN,NONME,CONST,164797.35
1423,2022,CN,CN,BUSIN,BUSIN,162675.93
5039,2022,CN,CN,FISHF,FISH5,158912.75
5918,2022,CN,CN,GLASS,GLASS,152602.29
5897,2022,CN,CN,GLASS,CONST,152332.99
723,2022,CN,CN,BASIC,ELECT,151061.28
14321,2022,CN,CN,WHOLE,WHOLE,146825.52
14368,2022,CN,CN,WOODW,CONST,146189.64
13828,2022,CN,CN,VEGET,FOOD5,138845.26
7085,2022,CN,CN,LANDT,CONST,138508.17
1800,2022,CN,CN,CHEM1,CHEM1,130220.32
11895,2022,CN,CN,RESEA,RESEA,121972.28
11443,2022,CN,CN,REALE,CONST,121004.78
752,2022,CN,CN,BASIC,MOTO1,118964.45
4510,2022,CN,CN,ELECT,ELECT,116443.55
2465,2022,CN,CN,CONST,CONST,111138.54
9745,2022,CN,CN,PAPER,PAPER,106940.87
12278,2022,CN,CN,RUBBE,RUBBE,106742.27
5248,2022,CN,CN,FOOD5,POULT,101059.68
3076,2022,CN,CN,DISTR,DISTR,100998.35
7102,2022,CN,CN,LANDT,FISH5,100145.77
4654,2022,CN,CN,FABRI,FABRI,100065.55
5246,2022,CN,CN,FOOD5,PIGS9,96020.56
11960,2022,CN,CN,RETA1,FISH5,94769.76
12238,2022,CN,CN,RUBBE,MOTO1,92590.78
2124,2022,CN,CN,COKEO,BASIC,92129.46
4864,2022,CN,CN,FINAN,REALE,91797.27
7363,2022,CN,CN,LEATH,LEATH,89773.64
5569,2022,CN,CN,FURNI,FURNI,89138.80
10507,2022,CN,CN,POULT,MEAT1,86544.43
14277,2022,CN,CN,WHOLE,OFFIC,84206.92
10431,2022,CN,CN,POSTT,POSTT,82854.96
2829,2022,CN,CN,CRUDE,MOTOR,82597.07
11808,2022,CN,CN,RESEA,CONST,80488.11
13686,2022,CN,CN,TRANS,TRANS,74895.65
2818,2022,CN,CN,CRUDE,GASDI,72869.93
5223,2022,CN,CN,FOOD5,HOTEL,70782.14
11533,2022,CN,CN,REALE,RETA1,69994.26
11943,2022,CN,CN,RETA1,CONST,68168.64
5685,2022,CN,CN,GASDI,CONST,67041.96
2225,2022,CN,CN,COKIN,COKEO,66635.50
11431,2022,CN,CN,REALE,BUSIN,66159.50
14242,2022,CN,CN,WHOLE,FOOD5,65434.12
11327,2022,CN,CN,RAILW,TEXTI,65227.65
14205,2022,CN,CN,WHOLE,BASIC,64871.22
13898,2022,CN,CN,VEGET,VEGET,61099.26
6926,2022,CN,CN,KEROS,AIRTR,59644.17
4688,2022,CN,CN,FABRI,MOTO1,59315.65
1756,2022,CN,CN,CEREA,FOOD5,57736.21
10076,2022,CN,CN,PFERT,VEGET,57514.86
2324,2022,CN,CN,COMPU,COMPU,54752.97
4797,2022,CN,CN,FINAN,FINAN,54568.20
14075,2022,CN,CN,WEARI,WEARI,54069.87
530,2022,CN,CN,AUXIL,INSUR,53004.74
6709,2022,CN,CN,INSUR,INSUR,52425.82
9598,2022,CN,CN,PADDY,PROCE,50110.50
4757,2022,CN,CN,FINAN,BASIC,50039.35
4859,2022,CN,CN,FINAN,PUBLI,49816.74
4544,2022,CN,CN,ELECT,MOTO1,49624.19
14425,2022,CN,CN,WOODW,PAPER,49551.38
6258,2022,CN,CN,HOTEL,BUSIN,48642.11
4763,2022,CN,CN,FINAN,BITUM,48531.07
11199,2022,CN,CN,RADIO,OFFIC,46333.89
1214,2022,CN,CN,BITUM,CEMEN,46327.78
4612,2022,CN,CN,FABRI,BASIC,46110.30
1577,2022,CN,CN,CATTL,MEATC,45975.48
12347,2022,CN,CN,SALEM,LANDT,45502.77
1563,2022,CN,CN,BUSIN,WHOLE,44374.07
11554,2022,CN,CN,REALE,WHOLE,44354.43
9473,2022,CN,CN,OILSE,PLAST,43535.55
1527,2022,CN,CN,BUSIN,PUBLI,42641.18
307,2022,CN,CN,ALUM1,FABRI,42039.97
14390,2022,CN,CN,WOODW,FURNI,41671.11
277,2022,CN,CN,ALUM1,ALUM1,41390.90
12213,2022,CN,CN,RUBBE,FURNI,41132.62
9758,2022,CN,CN,PAPER,PRINT,40563.43
6271,2022,CN,CN,HOTEL,CONST,40381.57
1204,2022,CN,CN,BITUM,BASIC,40049.94
4935,2022,CN,CN,FISH5,FOOD5,39515.92
4944,2022,CN,CN,FISH5,HOTEL,39330.15
