trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
1232,2022,CN,CN,BITUM,ELEC1,222990.85,710797336010.075,1.0,1.0,710797336010.075,710797336010.075,710797336010.075,3187562.790178
1214,2022,CN,CN,BITUM,CEMEN,46327.78,147672690698.336,1.0,1.0,147672690698.336,147672690698.336,147672690698.336,3187562.423633
1204,2022,CN,CN,BITUM,BASIC,40049.94,127661692266.994,1.0,1.0,127661692266.994,127661692266.994,127661692266.994,3187562.634725
13828,2022,CN,CN,VEGET,FOOD5,138845.26,121393692444.915,2.0,1.0,121393692444.915,121393692444.915,121393692444.915,874309.230613
1267,2022,CN,CN,BITUM,NONME,29820.76,95055544467.84,1.0,1.0,95055544467.84,95055544467.84,95055544467.84,3187562.773982
1243,2022,CN,CN,BITUM,FURNI,27180.34,86639027251.608,1.0,1.0,86639027251.608,86639027251.608,86639027251.608,3187562.306123
13898,2022,CN,CN,VEGET,VEGET,61099.26,53419645212.015,2.0,1.0,53419645212.015,53419645212.015,53419645212.015,874309.201323
1577,2022,CN,CN,CATTL,MEATC,45975.48,49268234279.762,3.0,1.0,49268234279.762,49268234279.762,49268234279.762,1071619.79124
1220,2022,CN,CN,BITUM,COKEO,12987.95,41399915986.189,1.0,1.0,41399915986.189,41399915986.189,41399915986.189,3187563.548227
1224,2022,CN,CN,BITUM,COPP1,12112.35,38608861552.825,1.0,1.0,38608861552.825,38608861552.825,38608861552.825,3187561.584071
2225,2022,CN,CN,COKIN,COKEO,66635.5,38537636688.634,1.0,1.0,38537636688.634,38537636688.634,38537636688.634,578334.921906
1209,2022,CN,CN,BITUM,BITUM,11791.78,37587028973.458,1.0,1.0,37587028973.458,37587028973.458,37587028973.458,3187561.926483
10116,2022,CN,CN,PIGS9,MEATP,183590.18,33970263747.545,1.0,1.0,33970263747.545,33970263747.545,33970263747.545,185033.119677
1274,2022,CN,CN,BITUM,PFERT,9439.77,30089869292.604,1.0,1.0,30089869292.604,30089869292.604,30089869292.604,3187563.816979
1277,2022,CN,CN,BITUM,PLAST,7419.8,23651089398.873,1.0,1.0,23651089398.873,23651089398.873,23651089398.873,3187564.273818
1229,2022,CN,CN,BITUM,DIST1,7033.37,22419321387.612,1.0,1.0,22419321387.612,22419321387.612,22419321387.612,3187564.622309
2829,2022,CN,CN,CRUDE,MOTOR,82597.07,17205681308.475,1.0,1.0,17205681308.475,17205681308.475,17205681308.475,208308.61565
1756,2022,CN,CN,CEREA,FOOD5,57736.21,16655279777.365,1.0,1.0,16655279777.365,16655279777.365,16655279777.365,288471.996644
13836,2022,CN,CN,VEGET,HOTEL,18702.36,16351650344.652,2.0,1.0,16351650344.652,16351650344.652,16351650344.652,874309.463867
10507,2022,CN,CN,POULT,MEAT1,86544.43,15621198286.78,1.0,1.0,15621198286.78,15621198286.78,15621198286.78,180499.17582
2818,2022,CN,CN,CRUDE,GASDI,72869.93,15179433187.758,1.0,1.0,15179433187.758,15179433187.758,15179433187.758,208308.601199
1248,2022,CN,CN,BITUM,HYDRO,4124.17,13146041951.903,1.0,1.0,13146041951.903,13146041951.903,13146041951.903,3187560.636905
1283,2022,CN,CN,BITUM,PROCE,3981.92,12692634416.018,1.0,1.0,12692634416.018,12692634416.018,12692634416.018,3187566.404151
1223,2022,CN,CN,BITUM,CONST,3834.74,12223488460.212,1.0,1.0,12223488460.212,12223488460.212,12223488460.212,3187566.421768
9598,2022,CN,CN,PADDY,PROCE,50110.5,10816817852.184,1.0,1.0,10816817852.184,10816817852.184,10816817852.184,215859.307973
1294,2022,CN,CN,BITUM,RUBBE,3280.8,10457748778.092,1.0,1.0,10457748778.092,10457748778.092,10457748778.092,3187560.588299
1210,2022,CN,CN,BITUM,BLAST,2489.23,7934591422.717,1.0,1.0,7934591422.717,7934591422.717,7934591422.717,3187568.614679
9585,2022,CN,CN,PADDY,PADDY,32452.02,7005070489.027,1.0,1.0,7005070489.027,7005070489.027,7005070489.027,215859.305184
13902,2022,CN,CN,VEGET,WHOLE,7492.73,6550967241.077,2.0,1.0,6550967241.077,6550967241.077,6550967241.077,874309.79644
2822,2022,CN,CN,CRUDE,KEROS,30625.38,6379530578.975,1.0,1.0,6379530578.975,6379530578.975,6379530578.975,208308.617851
1307,2022,CN,CN,BITUM,VEGET,1853.08,5906809321.445,1.0,1.0,5906809321.445,5906809321.445,5906809321.445,3187563.041771
2825,2022,CN,CN,CRUDE,LIQUE,27942.72,5820709698.474,1.0,1.0,5820709698.474,5820709698.474,5820709698.474,208308.62917
13894,2022,CN,CN,VEGET,TEXTI,6495.03,5678664026.436,2.0,1.0,5678664026.436,5678664026.436,5678664026.436,874309.129663
13799,2022,CN,CN,VEGET,BEVER,6464.95,5652366782.225,2.0,1.0,5652366782.225,5652366782.225,5652366782.225,874309.435065
13888,2022,CN,CN,VEGET,RUBBE,6234.66,5451020714.577,2.0,1.0,5451020714.577,5451020714.577,5451020714.577,874309.218879
13806,2022,CN,CN,VEGET,BUSIN,5801.57,5072370118.155,2.0,1.0,5072370118.155,5072370118.155,5072370118.155,874309.905449
1221,2022,CN,CN,BITUM,COKIN,1543.68,4920591023.369,1.0,1.0,4920591023.369,4920591023.369,4920591023.369,3187571.921233
13868,2022,CN,CN,VEGET,PLAST,5187.87,4535801785.867,2.0,1.0,4535801785.867,4535801785.867,4535801785.867,874309.068243
1219,2022,CN,CN,BITUM,COKE1,1335.84,4258068062.931,1.0,1.0,4258068062.931,4258068062.931,4258068062.931,3187558.437336
1272,2022,CN,CN,BITUM,PAPER,1332.95,4248853625.606,1.0,1.0,4248853625.606,4248853625.606,4248853625.606,3187556.641739
1227,2022,CN,CN,BITUM,CRUDE,1288.9,4108462209.414,1.0,1.0,4108462209.414,4108462209.414,4108462209.414,3187572.510989
2830,2022,CN,CN,CRUDE,NAPHT,19619.6,4086931815.969,1.0,1.0,4086931815.969,4086931815.969,4086931815.969,208308.620765
1748,2022,CN,CN,CEREA,CEREA,13231.31,3816863530.806,1.0,1.0,3816863530.806,3816863530.806,3816863530.806,288472.081057
1207,2022,CN,CN,BITUM,BIOG1,1181.31,3765511784.27,1.0,1.0,3765511784.27,3765511784.27,3765511784.27,3187572.93536
13803,2022,CN,CN,VEGET,BITUM,4282.09,3743870308.475,2.0,1.0,3743870308.475,3743870308.475,3743870308.475,874309.112717
1217,2022,CN,CN,BITUM,CHEM1,1068.55,3406067037.639,1.0,1.0,3406067037.639,3406067037.639,3406067037.639,3187559.812493
13875,2022,CN,CN,VEGET,PUBLI,3606.62,3153304150.19,2.0,1.0,3153304150.19,3153304150.19,3153304150.19,874310.060442
1289,2022,CN,CN,BITUM,REALE,976.6,3112979863.8,1.0,1.0,3112979863.8,3112979863.8,3112979863.8,3187568.977882
2820,2022,CN,CN,CRUDE,HEAVY,14892.69,3102275068.296,1.0,1.0,3102275068.296,3102275068.296,3102275068.296,208308.577449
13842,2022,CN,CN,VEGET,LEATH,3537.39,3092769560.669,2.0,1.0,3092769560.669,3092769560.669,3092769560.669,874308.334865
1230,2022,CN,CN,BITUM,EDUCA,955.44,3045519321.171,1.0,1.0,3045519321.171,3045519321.171,3045519321.171,3187556.854613
13834,2022,CN,CN,VEGET,HEALT,3409.93,2981334269.51,2.0,1.0,2981334269.51,2981334269.51,2981334269.51,874309.522339
1238,2022,CN,CN,BITUM,FABRI,920.92,2935500091.533,1.0,1.0,2935500091.533,2935500091.533,2935500091.533,3187573.395662
10500,2022,CN,CN,POULT,HOTEL,12662.79,2285623729.383,1.0,1.0,2285623729.383,2285623729.383,2285623729.383,180499.220897
10521,2022,CN,CN,POULT,POULT,12659.25,2284984183.424,1.0,1.0,2284984183.424,2284984183.424,2284984183.424,180499.175182
1570,2022,CN,CN,CATTL,CATTL,2022.85,2167727051.382,3.0,1.0,2167727051.382,2167727051.382,2167727051.382,1071620.264173
1211,2022,CN,CN,BITUM,BRICK,662.61,2112122821.166,1.0,1.0,2112122821.166,2112122821.166,2112122821.166,3187580.660065
1302,2022,CN,CN,BITUM,TEXTI,640.58,2041875537.068,1.0,1.0,2041875537.068,2041875537.068,2041875537.068,3187541.816897
13886,2022,CN,CN,VEGET,RETA1,2322.72,2030773651.572,2.0,1.0,2030773651.572,2030773651.572,2030773651.572,874308.419255
9589,2022,CN,CN,PADDY,PFERT,9143.96,1973809498.54,1.0,1.0,1973809498.54,1973809498.54,1973809498.54,215859.375866
1270,2022,CN,CN,BITUM,OXYGE,610.95,1947441541.765,1.0,1.0,1947441541.765,1947441541.765,1947441541.765,3187562.880375
1212,2022,CN,CN,BITUM,BUSIN,574.77,1832117624.952,1.0,1.0,1832117624.952,1832117624.952,1832117624.952,3187566.548275
8669,2022,CN,CN,NATUR,ELEC2,10460.27,1771735929.6,1.0,1.0,1771735929.6,1771735929.6,1771735929.6,169377.647957
13900,2022,CN,CN,VEGET,WEARI,1984.86,1735383152.298,2.0,1.0,1735383152.298,1735383152.298,1735383152.298,874310.103634
2835,2022,CN,CN,CRUDE,NONSP,7480.04,1558157563.248,1.0,1.0,1558157563.248,1558157563.248,1558157563.248,208308.720708
1284,2022,CN,CN,BITUM,PUBLI,484.81,1545352732.894,1.0,1.0,1545352732.894,1545352732.894,1545352732.894,3187543.022821
13817,2022,CN,CN,VEGET,EDUCA,1550.14,1355300175.408,2.0,1.0,1355300175.408,1355300175.408,1355300175.408,874308.240164
1773,2022,CN,CN,CEREA,POULT,4683.59,1351085455.698,1.0,1.0,1351085455.698,1351085455.698,1351085455.698,288472.18815
1246,2022,CN,CN,BITUM,HEALT,366.31,1167640904.63,1.0,1.0,1167640904.63,1167640904.63,1167640904.63,3187575.836395
1308,2022,CN,CN,BITUM,WEARI,325.39,1037209439.393,1.0,1.0,1037209439.393,1037209439.393,1037209439.393,3187588.553407
1303,2022,CN,CN,BITUM,TOBAC,324.12,1033137236.615,1.0,1.0,1033137236.615,1033137236.615,1033137236.615,3187514.61377
1278,2022,CN,CN,BITUM,POSTT,322.8,1028933606.376,1.0,1.0,1028933606.376,1028933606.376,1028933606.376,3187526.661636
1282,2022,CN,CN,BITUM,PRIVA,317.54,1012169928.932,1.0,1.0,1012169928.932,1012169928.932,1012169928.932,3187535.204799
13792,2022,CN,CN,VEGET,93197,1123.05,981893227.608,2.0,1.0,981893227.608,981893227.608,981893227.608,874309.449809
1275,2022,CN,CN,BITUM,PIGS9,306.45,976842826.432,1.0,1.0,976842826.432,976842826.432,976842826.432,3187609.157879
8644,2022,CN,CN,NATUR,BASIC,5713.18,967685701.837,1.0,1.0,967685701.837,967685701.837,967685701.837,169377.77242
2803,2022,CN,CN,CRUDE,BITU1,4445.13,925958157.005,1.0,1.0,925958157.005,925958157.005,925958157.005,208308.453747
1298,2022,CN,CN,BITUM,STEAM,272.17,867555054.104,1.0,1.0,867555054.104,867555054.104,867555054.104,3187548.422324
8665,2022,CN,CN,NATUR,CRUDE,5042.78,854133641.41,1.0,1.0,854133641.41,854133641.41,854133641.41,169377.5341
1215,2022,CN,CN,BITUM,CERAM,259.11,825926928.243,1.0,1.0,825926928.243,825926928.243,825926928.243,3187553.271749
1260,2022,CN,CN,BITUM,MEDIC,256.56,817813091.073,1.0,1.0,817813091.073,817813091.073,817813091.073,3187609.491242
8724,2022,CN,CN,NATUR,PRIVA,4814.69,815501062.336,1.0,1.0,815501062.336,815501062.336,815501062.336,169377.688353
1746,2022,CN,CN,CEREA,CATTL,2825.28,815013781.636,1.0,1.0,815013781.636,815013781.636,815013781.636,288471.861775
8720,2022,CN,CN,NATUR,PLAST,4726.14,800503104.455,1.0,1.0,800503104.455,800503104.455,800503104.455,169377.780695
1264,2022,CN,CN,BITUM,NATUR,244.44,779160712.242,1.0,1.0,779160712.242,779160712.242,779160712.242,3187533.596146
1253,2022,CN,CN,BITUM,LEATH,239.31,762829814.246,1.0,1.0,762829814.246,762829814.246,762829814.246,3187621.972529
1279,2022,CN,CN,BITUM,POULT,237.57,757281972.416,1.0,1.0,757281972.416,757281972.416,757281972.416,3187616.165408
1280,2022,CN,CN,BITUM,PREC1,234.31,746865343.963,1.0,1.0,746865343.963,746865343.963,746865343.963,3187509.470202
