trade_id,factor_id,coefficient,impact_value
16355,8,66323947830.0,1673982618102.0278
16356,8,66323947830.0,815793170.9975848
16357,8,66323947830.0,1704265062.849398
16358,8,66323947830.0,60906667508.49584
16359,8,66323947830.0,11663162756.166834
16360,8,66323947830.0,22666507156.30858
16361,8,66323947830.0,71663909603.1873
16362,8,66323947830.0,27930501253.951015
16363,8,66323947830.0,14219101168.436903
16364,8,66323947830.0,2400432241.5369496
16365,8,66323947830.0,4547320310.285999
16366,8,66323947830.0,17046770753711.633
16367,8,66323947830.0,10652709931.094597
16368,8,66323947830.0,3312228342107.8345
16369,8,66323947830.0,48836928575882.125
16370,8,66323947830.0,722369188.9017369
16371,8,66323947830.0,2567219835.8624654
16372,8,66323947830.0,15113286332762.068
16373,8,66323947830.0,144921084777.36154
16374,8,66323947830.0,769352616.2209915
16375,8,66323947830.0,1470950876466.8713
16376,8,66323947830.0,880862702.8167559
16377,8,66323947830.0,10538108257.8126
16378,8,66323947830.0,795843043696.5099
16379,8,66323947830.0,107677206479.06833
16380,8,66323947830.0,4660686159.78468
16381,8,66323947830.0,1003645275.9325353
16399,8,59289732070.0,5383991321014.391
16400,8,59289732070.0,1201549757.3922212
16401,8,59289732070.0,2540426485.248353
16402,8,59289732070.0,5853833924.215028
16403,8,59289732070.0,209203091409.54123
16404,8,59289732070.0,40055725769.68706
16405,8,59289732070.0,77855242496.57497
16406,8,59289732070.0,246152220186.41965
16407,8,59289732070.0,95936084606.08113
16408,8,59289732070.0,172696453729.03116
16409,8,59289732070.0,7007801812.467016
16410,8,59289732070.0,13275408887.140827
16411,8,59289732070.0,35577525680757.49
16412,8,59289732070.0,31099924872.636925
16413,8,59289732070.0,6538120641101.779
16414,8,59289732070.0,86152932216836.72
16415,8,59289732070.0,2108960715.3925636
16416,8,59289732070.0,7494720120.558499
16417,8,59289732070.0,2658677817522.4824
16418,8,59289732070.0,1203232049.1591654
16419,8,59289732070.0,1676762774738.1702
16420,8,59289732070.0,2246041594.1177883
16421,8,59289732070.0,40395775147.34184
16422,8,59289732070.0,766789724239.456
16423,8,59289732070.0,2571583208.4307504
16424,8,59289732070.0,230506343110.6665
16425,8,59289732070.0,33516143501687.023
16426,8,59289732070.0,2323380213979.988
16427,8,59289732070.0,196164363370.94962
16428,8,59289732070.0,13606378799.399685
16429,8,59289732070.0,2255347868.992381
16430,8,59289732070.0,511345171613.0991
16431,8,59289732070.0,2930042161.373821
16912,8,74484664398.0,158045906325.94836
16913,8,74484664398.0,8747947171.804316
16914,8,74484664398.0,4187217871.518778
16915,8,74484664398.0,41846493093.62419
16916,8,74484664398.0,135981315665.38033
16917,8,74484664398.0,154271816290.92752
16918,8,74484664398.0,1370409843.9689326
16919,8,74484664398.0,4787156528.076536
16920,8,74484664398.0,15881675265.615385
16921,8,74484664398.0,13656461994.686855
16922,8,74484664398.0,868687642037.6978
16923,8,74484664398.0,23284488383.840343
16924,8,74484664398.0,1030336440344.0748
16925,8,74484664398.0,461291857941.0428
16926,8,74484664398.0,2079100979.3048954
16927,8,74484664398.0,145440134638.87164
16928,8,74484664398.0,744534478843.8689
16929,8,74484664398.0,8688374900.099405
16930,8,74484664398.0,1028673820.1074386
16931,8,74484664398.0,88640546573.22632
16932,8,74484664398.0,8406421196.71496
16933,8,74484664398.0,690495386859.8086
16934,8,74484664398.0,204113186061.69714
16935,8,74484664398.0,321890431515.1052
16936,8,74484664398.0,111077506158.14424
16937,8,74484664398.0,479710483810.45184
16938,8,74484664398.0,28137258029.101414
16939,8,74484664398.0,1070537317200.0748
16940,8,74484664398.0,3377681775.735997
16941,8,74484664398.0,242599374090.01114
16942,8,74484664398.0,313618770588.5247
16943,8,74484664398.0,332951039550.45123
16944,8,74484664398.0,244458546566.97687
16945,8,74484664398.0,886437461.0071756
16946,8,74484664398.0,144924554408.55493
16947,8,74484664398.0,95061328673.47148
16948,8,74484664398.0,802764812.3972259
16949,8,74484664398.0,260809569847.78845
16950,8,74484664398.0,49232796286.30063
16951,8,74484664398.0,2838954469.1392303
16952,8,74484664398.0,18703863857.874104
16953,8,74484664398.0,76818287749.90527
16954,8,74484664398.0,15923299368.616776
16955,8,74484664398.0,478224527348.0891
16956,8,74484664398.0,16810482336.63407
16957,8,74484664398.0,2526644501.175884
16958,8,74484664398.0,1934337508.5852485
16959,8,74484664398.0,85484178731.40591
16960,8,74484664398.0,936429313606.8175
16961,8,74484664398.0,5640417197904.958
16962,8,74484664398.0,758591875322.1752
16963,8,74484664398.0,563373903574.588
16964,8,74484664398.0,83001330763.45558
16965,8,74484664398.0,1575039233.0585089
16966,8,74484664398.0,993133246.8717264
16967,8,74484664398.0,2687698586861.4287
16968,8,74484664398.0,3917513816.3360553
16969,8,74484664398.0,643005381423.9991
16970,8,74484664398.0,246031119610.62967
16971,8,74484664398.0,9373943407.845121
16972,8,74484664398.0,125196812121.2495
16973,8,74484664398.0,62705748760.04852
16974,8,74484664398.0,622655325947.8755
16975,8,74484664398.0,368347016244.9469
16976,8,74484664398.0,58190607406.155525
16977,8,74484664398.0,721378358175.5317
16978,8,74484664398.0,21776488017.23507
16979,8,74484664398.0,4441214719.357114
16980,8,74484664398.0,1047322817.6252447
16981,8,74484664398.0,3606932019.1808777
16982,8,74484664398.0,33552565617.264446
16983,8,74484664398.0,356681111014.0603
16984,8,74484664398.0,9265768121.151741
16985,8,74484664398.0,11720465444.346598
16986,8,74484664398.0,33984198483.827526
16987,8,74484664398.0,116374897130.78163
16988,8,74484664398.0,146460839560.53955
16989,8,74484664398.0,516302150725.47424
16990,8,74484664398.0,22441185040.56495
19010,414,96755212516.4,30735394025.277218
19011,414,96755212516.4,797100865653.6765
19012,414,96755212516.4,507107060966.4775
19013,414,96755212516.4,8388065481.1385355
19014,414,96755212516.4,13067047622536.645
19015,414,96755212516.4,2670559272825.4087
19016,414,96755212516.4,197022949006.0555
19017,414,96755212516.4,5491748529346.905
19018,414,96755212516.4,5010693738455.942
19019,414,96755212516.4,132973695430.7683
19020,414,96755212516.4,14811320966658.945
19021,414,96755212516.4,3518190172774.589
19022,414,96755212516.4,1341322751028.8442
19023,414,96755212516.4,196282598994.8171
19024,414,96755212516.4,191298674254.7958
19025,414,96755212516.4,93809710588.62044
19026,414,96755212516.4,69283259268.86253
19027,414,96755212516.4,162897717263.22165
19028,414,96755212516.4,969943913.4949272
19029,414,96755212516.4,41797599664.18075
39055,414,41753510963.9,640533516.6942612
39056,414,41753510963.9,962394552.0164882
39057,414,41753510963.9,201350638753.39612
39058,414,41753510963.9,366962357086.1865
39059,414,41753510963.9,822113673.8795644
39060,414,41753510963.9,2265716563.9918094
39061,414,41753510963.9,120032608071.06505
39062,414,41753510963.9,1026605921.3884442
39063,414,41753510963.9,94036447112.98837
39064,414,41753510963.9,592740913.5241218
39065,414,41753510963.9,261274186618.1871
39066,414,41753510963.9,687673001.2288193
39067,414,41753510963.9,2600794725689.6465
39068,414,41753510963.9,285477714921.0479
39069,414,41753510963.9,663909789.6259154
39070,414,41753510963.9,96913319754327.8
39071,414,41753510963.9,17390213463.358807
39072,414,41753510963.9,4939875013604.558
39073,414,41753510963.9,442220661.1884325
39074,414,41753510963.9,104196195781.38249
61982,414,57608062971.6,15581088584.869013
61983,414,57608062971.6,28396597241.907608
61984,414,57608062971.6,9288466681.867588
61985,414,57608062971.6,7276809359.789473
61986,414,57608062971.6,20218144187.901882
61987,414,57608062971.6,201256937961.36172
61988,414,57608062971.6,22091082465.57391
61989,414,57608062971.6,7499429996819.109
61990,414,57608062971.6,1345704479.3111212
61991,414,57608062971.6,382261663839.6287
61992,414,57608062971.6,8062999783.49197
67014,414,53784400211.9,58469013503.81113
67015,414,53784400211.9,8801773574.438375
67016,414,53784400211.9,77189022651172.39
67017,414,53784400211.9,5445693971.23823
67018,414,53784400211.9,1335557394.76632
67019,414,53784400211.9,26243943995.554104
67020,414,53784400211.9,3165118285.78636
67021,414,53784400211.9,3596863711.4107194
67022,414,53784400211.9,2187485423408.6484
67023,414,53784400211.9,55323520081.19352
67024,414,53784400211.9,19842401588.720005
67025,414,53784400211.9,150795602989.71445
67026,414,53784400211.9,2113511633622.5896
67027,414,53784400211.9,1259202785188.4053
67028,414,53784400211.9,505223421952.58826
67029,414,53784400211.9,2309442508.6279464
67030,414,53784400211.9,29669052133.838734
67031,414,53784400211.9,104595657324.94363
67032,414,53784400211.9,286367968741.88354
67033,414,53784400211.9,1060217193.1981878
67034,414,53784400211.9,94794212888304.52
67035,414,53784400211.9,3705226260.479991
67036,414,53784400211.9,3530310363.0103955
67037,414,53784400211.9,1427602822075.889
67038,414,53784400211.9,156534118962.4259
67039,414,53784400211.9,78915155138.65149
67040,414,53784400211.9,47092997494.19153
67041,414,53784400211.9,22340728711.384846
67042,414,53784400211.9,3833695867.2544036
67043,414,53784400211.9,41237612803242.85
67044,414,53784400211.9,67335746258506.625
67045,414,53784400211.9,627132603836.0587
67046,414,53784400211.9,17130219423.504925
67047,414,53784400211.9,757461028.4393151
67048,414,53784400211.9,2020819620.1177323
67049,414,53784400211.9,4505701744879.529
67050,414,53784400211.9,2116194800371.0508
67051,414,53784400211.9,58964168066.970535
67052,414,53784400211.9,1536520481.7361467
67053,414,53784400211.9,209796773177.19144
67054,414,53784400211.9,70155300561.48613
67055,414,53784400211.9,12050717985.00542
67056,414,53784400211.9,3163909212.3620276
67057,414,53784400211.9,889052723.6032245
67058,414,53784400211.9,24781143577.395603
67059,414,53784400211.9,1519586534.83579
67060,414,53784400211.9,84208065259.0914
67061,414,53784400211.9,22610416389.478493
67062,414,53784400211.9,600034801.4633844
67063,414,53784400211.9,4251672788945.633
67064,414,53784400211.9,111745833641.61205
67065,414,53784400211.9,31083311154081.29
67066,414,53784400211.9,66835083486.476585
67067,414,53784400211.9,15875595056.50569
67068,414,53784400211.9,148231927504.43234
67069,414,53784400211.9,1937049204.3905053
67070,414,53784400211.9,2642243987.983643
67071,414,53784400211.9,1291616033109.095
67072,414,53784400211.9,6052628138.211033
67073,414,53784400211.9,7078142690039.845
67074,414,53784400211.9,1501231158.7147307
67075,414,53784400211.9,13569397793.594
67076,414,53784400211.9,280757830834.1767
67077,414,53784400211.9,885711944.2819382
67078,414,53784400211.9,4554489026.759658
67079,414,53784400211.9,863222321.1853414
67080,414,53784400211.9,59775905232.10236
67081,414,53784400211.9,3888404365.348694
67082,414,53784400211.9,332378954993.7969
67083,414,53784400211.9,3040276176.704881
67084,414,53784400211.9,1545996249044.491
67085,414,53784400211.9,119683034027.32451
67086,414,53784400211.9,3534743763.300152
67087,414,53784400211.9,41023123644.873055
67088,414,53784400211.9,30533514931.589188
67089,414,53784400211.9,923306669.9369279
67090,414,53784400211.9,2511378198855.439
67091,414,53784400211.9,996021103316.6809
67092,414,53784400211.9,3124089313.1499233
67093,414,53784400211.9,2345146409.045576
67094,414,53784400211.9,77686071066.3293
67095,414,53784400211.9,199123263527.8896
67096,414,53784400211.9,7819741282568.196
67097,414,53784400211.9,146684755377.3457
67098,414,53784400211.9,27388526265.18717
67099,414,53784400211.9,272116242824.11887
67100,414,53784400211.9,18233638453.119484
67357,414,53627075136.6,7655867142.217522
67358,414,53627075136.6,2275122554.873522
67359,414,53627075136.6,6329406308.963803
67360,414,53627075136.6,1823655271.246127
67361,414,53627075136.6,1273820049.709438
67362,414,53627075136.6,1271434283896.8123
67363,414,53627075136.6,10695977271031.5
67364,414,53627075136.6,914586651.1206868
67365,414,53627075136.6,15379720566.500168
67366,414,53627075136.6,2812235010.211837
67367,414,53627075136.6,10096020420.93443
67368,414,53627075136.6,615105016.887202
67369,414,53627075136.6,4526015142.487652
67370,414,53627075136.6,1987967171.805689
67371,414,53627075136.6,18267126728.387993
67372,414,53627075136.6,2916729768.93023
67373,414,53627075136.6,20536177262.432125
67374,414,53627075136.6,1317232646.0511599
67375,414,53627075136.6,6007942009.666381
67376,414,53627075136.6,666828501.8088429
67377,414,53627075136.6,17847385028.93565
67378,414,53627075136.6,11213767867.173168
70091,414,53099259993.6,215137787840.38968
70091,8,45537380178.5,184499957943.48355
70092,414,53099259993.6,47846932210.74006
70092,8,45537380178.5,41033037799.735794
70093,414,53099259993.6,52127928650.41925
70093,8,45537380178.5,44704376391.647865
70094,414,53099259993.6,5771652150.689741
70094,8,45537380178.5,4949709624.49748
70095,414,53099259993.6,476651836513.1821
70095,8,45537380178.5,408771721012.63074
70096,414,53099259993.6,79445734941.40857
70096,8,45537380178.5,68131846583.61167
70097,414,53099259993.6,2990770967.3149977
70097,8,45537380178.5,2564854474.0898147
70098,414,53099259993.6,1105148674.2329664
70098,8,45537380178.5,947764156.0047641
70099,414,53099259993.6,10426618203.968159
70099,8,45537380178.5,8941760717.331923
70100,414,53099259993.6,1512567758.2150352
70100,8,45537380178.5,1297162579.2879481
70101,414,53099259993.6,631820560420.4658
70101,8,45537380178.5,541842825454.2055
70102,414,53099259993.6,2329024590.97964
70102,8,45537380178.5,1997347576.167697
70103,414,53099259993.6,4821894095.527262
70103,8,45537380178.5,4135206867.947965
70104,414,53099259993.6,308956441549.1236
70104,8,45537380178.5,264957872089.26614
70105,414,53099259993.6,50016108044.37756
70105,8,45537380178.5,42893300722.84003
70106,414,53099259993.6,140223836277.56113
70106,8,45537380178.5,120254522255.65234
70107,414,53099259993.6,1001335368868.2466
70107,8,45537380178.5,858734931218.0205
70108,414,53099259993.6,971176157.4180809
70108,8,45537380178.5,832870701.1354262
70109,414,53099259993.6,1249594495.3493922
70109,8,45537380178.5,1071639409.1093665
70110,414,53099259993.6,43984991262.38377
70110,8,45537380178.5,37721076894.56662
70111,414,53099259993.6,82712857676.91628
70111,8,45537380178.5,70933697496.68591
70112,414,53099259993.6,62258182121.49247
70112,8,45537380178.5,53391977756.94808
70113,414,53099259993.6,15243518343.69586
70113,8,45537380178.5,13072684820.061188
70114,414,53099259993.6,3425270500.9654427
70114,8,45537380178.5,2937476812.962447
70115,414,53099259993.6,168465127471.8192
70115,8,45537380178.5,144473963618.8589
70116,414,53099259993.6,1961567040.5081265
70116,8,45537380178.5,1682219753.7216125
70117,414,53099259993.6,6583723812.555635
70117,8,45537380178.5,5646133943.838854
70118,414,53099259993.6,117928077044.18347
70118,8,45537380178.5,101133908056.86705
70119,414,53099259993.6,538399965.4438361
70119,8,45537380178.5,461726282.39004225
70120,414,53099259993.6,2998370419.0347857
70120,8,45537380178.5,2571371685.8579984
70121,414,53099259993.6,2226114046.6197658
70121,8,45537380178.5,1909092549.9496894
70122,414,53099259993.6,15458893517.368343
70122,8,45537380178.5,13257388357.656937
70123,414,53099259993.6,660208152326.0055
70123,8,45537380178.5,566187732805.2773
70124,414,53099259993.6,35415358795.96976
70124,8,45537380178.5,30371848079.32236
70125,414,53099259993.6,551243862344.9833
70125,8,45537380178.5,472741076498.87714
70126,414,53099259993.6,922631486.5566306
70126,8,45537380178.5,791239289.832812
70127,414,53099259993.6,47794879946.874825
70127,8,45537380178.5,40988398312.68704
70128,414,53099259993.6,4021750153.572978
70128,8,45537380178.5,3449011638.735966
70129,414,53099259993.6,24795851793.12459
70129,8,45537380178.5,21264667908.542404
70130,414,53099259993.6,1541318129.526988
70130,8,45537380178.5,1321818602.533154
70131,414,53099259993.6,181906372237.4816
70131,8,45537380178.5,156001037123.08502
70132,414,53099259993.6,5067616943.506416
70132,8,45537380178.5,4345936259.437021
70133,414,53099259993.6,115559732969.37956
70133,8,45537380178.5,99102840495.08102
70134,414,53099259993.6,2585868473.5585513
70134,8,45537380178.5,2217614252.745254
70135,414,53099259993.6,23095569797.421207
70135,8,45537380178.5,19806523526.523975
70136,414,53099259993.6,10421067294.782911
70136,8,45537380178.5,8937000314.608128
70137,414,53099259993.6,261959773036.19986
70137,8,45537380178.5,224654011706.76938
70138,414,53099259993.6,4685222065.948625
70138,8,45537380178.5,4017998338.6494446
70139,414,53099259993.6,565138535393.995
70139,8,45537380178.5,484657005443.3684
70140,414,53099259993.6,9508224268.289434
70140,8,45537380178.5,8154155507.623319
70141,414,53099259993.6,147106064165.80652
70141,8,45537380178.5,126156650229.93822
70142,414,53099259993.6,3725023726.0098643
70142,8,45537380178.5,3194542101.0705028
70143,414,53099259993.6,28904495461.433258
70143,8,45537380178.5,24788198533.344128
70144,414,53099259993.6,594545356.2796596
70144,8,45537380178.5,509875993.102951
70145,414,53099259993.6,125032540760.3061
70145,8,45537380178.5,107226623195.35352
70146,414,53099259993.6,4729507126.943761
70146,8,45537380178.5,4055976752.26588
70147,414,53099259993.6,28105761160.343407
70147,8,45537380178.5,24103212197.664104
70148,414,53099259993.6,6676069807.365969
70148,8,45537380178.5,5725328920.833765
70149,414,53099259993.6,17994732284.740547
70149,8,45537380178.5,15432097648.052416
70150,414,53099259993.6,1559807745.239481
70150,8,45537380178.5,1337675107.1276746
70151,414,53099259993.6,25762668314.483383
70151,8,45537380178.5,22093799830.55557
70152,414,53099259993.6,210546851065.2622
70152,8,45537380178.5,180562817702.17636
70153,414,53099259993.6,2545275803.8313794
70153,8,45537380178.5,2182802395.96892
70154,414,53099259993.6,2291737860.7576947
70154,8,45537380178.5,1965370859.1676006
70155,414,53099259993.6,1451164701.6078184
70155,8,45537380178.5,1244503948.392116
70156,414,53099259993.6,571508271.9024142
70156,8,45537380178.5,490119626.0722758
70157,414,53099259993.6,791414950.5418423
70157,8,45537380178.5,678709335.8008453
70158,414,53099259993.6,420424311526.9484
70158,8,45537380178.5,360551572895.6355
70159,414,53099259993.6,1315492107.293737
70159,8,45537380178.5,1128152524.514865
70160,414,53099259993.6,465175014206.0492
70160,8,45537380178.5,398929316039.3035
70161,414,53099259993.6,3757616285.2448335
70161,8,45537380178.5,3222493145.2291584
70162,414,53099259993.6,341854286287.6072
70162,8,45537380178.5,293170725961.24396
70163,414,53099259993.6,79012457675.89388
70163,8,45537380178.5,67760272449.34271
70164,414,53099259993.6,1848049362.9143898
70164,8,45537380178.5,1584868158.9500577
70165,414,53099259993.6,5979990397.924633
70165,8,45537380178.5,5128378366.231378
70166,414,53099259993.6,44463022984.04215
70166,8,45537380178.5,38131031990.91192
70167,414,53099259993.6,942886872.0700531
70167,8,45537380178.5,808610100.4787225
70168,414,53099259993.6,204627571737.47363
70168,8,45537380178.5,175486504526.34805
70169,414,53099259993.6,405861506417.0912
70169,8,45537380178.5,348062660755.7506
70170,414,53099259993.6,28792585652.9551
70170,8,45537380178.5,24692225830.61744
70171,414,53099259993.6,105111274704.7197
70171,8,45537380178.5,90142349965.94081
70172,414,53099259993.6,22099326746.797005
70172,8,45537380178.5,18952155715.147118
