trade_id,year,region1,region2,industry1,industry2,amount
11239,2022,DE,DE,MOTO1,MOTO1,74418.65
17918,2022,DE,DE,SUPPO,SUPPO,56698.67
3104,2022,DE,DE,COMPU,COMPU,45134.58
17933,2022,DE,DE,SUPPO,WHOLE,45113.96
10401,2022,DE,DE,MACHI,MACHI,37933.35
3266,2022,DE,DE,CONST,CONST,32976.12
1845,2022,DE,DE,BUSIN,BUSIN,32839.93
19519,2022,DE,DE,WHOLE,CONST,29465.17
731,2022,DE,DE,AUXIL,INSUR,28492.26
6097,2022,DE,DE,FINAN,FINAN,24594.64
9501,2022,DE,DE,LANDT,SUPPO,24244.95
5933,2022,DE,DE,FABRI,FABRI,23183.40
17848,2022,DE,DE,SUPPO,LANDT,20298.61
16620,2022,DE,DE,SALEM,MOTO1,20132.34
2064,2022,DE,DE,CEMEN,CONST,20045.80
3363,2022,DE,DE,CONST,REALE,19150.45
9516,2022,DE,DE,LANDT,WHOLE,18612.90
15797,2022,DE,DE,RENTI,CONST,16411.05
5914,2022,DE,DE,FABRI,CONST,15806.80
15353,2022,DE,DE,REALE,CONST,15521.32
5967,2022,DE,DE,FABRI,MACHI,15397.50
15897,2022,DE,DE,RENTI,RENTI,15374.15
5975,2022,DE,DE,FABRI,MOTO1,15275.34
13921,2022,DE,DE,PLAST,RUBBE,14956.74
14079,2022,DE,DE,POSTT,RETA1,14847.83
17776,2022,DE,DE,SUPPO,AIRTR,14365.17
16400,2022,DE,DE,RUBBE,CONST,14103.62
16966,2022,DE,DE,SEACO,SEACO,13828.38
1876,2022,DE,DE,BUSIN,FINAN,13663.72
19580,2022,DE,DE,WHOLE,MOTO1,13170.51
14920,2022,DE,DE,PULP5,PAPER,13143.11
15242,2022,DE,DE,RAILW,SUPPO,12680.70
14063,2022,DE,DE,POSTT,POSTT,12672.98
19572,2022,DE,DE,WHOLE,MACHI,12459.11
6173,2022,DE,DE,FINAN,REALE,12110.90
4213,2022,DE,DE,EDUCA,EDUCA,11880.47
1856,2022,DE,DE,BUSIN,CONST,11122.99
17898,2022,DE,DE,SUPPO,RAILW,11042.94
875,2022,DE,DE,BASIC,FABRI,10833.24
8941,2022,DE,DE,INSUR,INSUR,10597.39
19649,2022,DE,DE,WHOLE,WHOLE,10537.24
17890,2022,DE,DE,SUPPO,POSTT,10281.16
15277,2022,DE,DE,RAWMI,DAIRY,9952.42
914,2022,DE,DE,BASIC,MOTO1,9699.88
3206,2022,DE,DE,COMPU,RESEA,9630.39
16822,2022,DE,DE,SANDC,SANDC,9611.97
720,2022,DE,DE,AUXIL,FINAN,9470.99
17864,2022,DE,DE,SUPPO,MOTO1,9083.18
17911,2022,DE,DE,SUPPO,SEACO,8803.38
16460,2022,DE,DE,RUBBE,MOTO1,8763.48
13903,2022,DE,DE,PLAST,PLAST,8748.75
1947,2022,DE,DE,BUSIN,PUBLI,8653.90
1958,2022,DE,DE,BUSIN,RETA1,8532.06
437,2022,DE,DE,AIRTR,SUPPO,8240.97
7082,2022,DE,DE,FOOD5,FOOD5,8209.96
8171,2022,DE,DE,HEALT,HEALT,8003.37
7524,2022,DE,DE,FOUND,MOTO1,7946.96
16504,2022,DE,DE,RUBBE,RUBBE,7946.66
15456,2022,DE,DE,REALE,RETA1,7934.69
906,2022,DE,DE,BASIC,MACHI,7753.18
835,2022,DE,DE,BASIC,BASIC,7728.12
11232,2022,DE,DE,MOTO1,MACHI,7706.23
1985,2022,DE,DE,BUSIN,WHOLE,7677.08
18799,2022,DE,DE,TRANS,TRANS,7595.28
15222,2022,DE,DE,RAILW,RAILW,7489.26
3358,2022,DE,DE,CONST,PUBLI,7437.33
14711,2022,DE,DE,PUBLI,DIST1,7390.25
10409,2022,DE,DE,MACHI,MOTO1,7100.81
14798,2022,DE,DE,PUBLI,PUBLI,7068.44
16124,2022,DE,DE,RETA1,HEALT,7019.42
1952,2022,DE,DE,BUSIN,REALE,6847.91
12149,2022,DE,DE,OFFIC,OFFIC,6784.86
19995,2022,DE,DE,WOODW,CONST,6772.61
16720,2022,DE,DE,SANDC,CONST,6654.02
299,2022,DE,DE,AIRTR,AIRTR,6632.20
19554,2022,DE,DE,WHOLE,HEALT,6627.60
4306,2022,DE,DE,EDUCA,RESEA,6384.42
1896,2022,DE,DE,BUSIN,INSUR,6339.26
19538,2022,DE,DE,WHOLE,FABRI,6292.30
14106,2022,DE,DE,POSTT,WHOLE,6263.12
18969,2022,DE,DE,VEGET,FOOD5,6228.40
16452,2022,DE,DE,RUBBE,MACHI,6202.34
20120,2022,DE,DE,WOODW,WOODW,6197.43
16090,2022,DE,DE,RETA1,CONST,6170.67
19646,2022,DE,DE,WHOLE,WEARI,6108.27
6036,2022,DE,DE,FABRI,TRANS,6091.31
9489,2022,DE,DE,LANDT,RETA1,5996.90
15607,2022,DE,DE,RECRE,RECRE,5983.69
4055,2022,DE,DE,DISTR,DISTR,5960.07
6077,2022,DE,DE,FINAN,CONST,5911.27
