trade_id,factor_id,coefficient,impact_value
4511,414,132203781217.0,5529714923410.579
4512,414,132203781217.0,779272847323.0149
4513,414,132203781217.0,301357371373.26166
4514,414,132203781217.0,37509319874692.04
4515,414,132203781217.0,81568484620.89487
4516,414,132203781217.0,447364988906.5315
4517,414,132203781217.0,1339687363.3363762
4518,414,132203781217.0,48610599453516.92
4519,414,132203781217.0,5877839938846.968
4520,414,132203781217.0,2586373862136.512
4521,414,132203781217.0,454477570.4703987
4522,414,132203781217.0,427874536782.512
4523,414,132203781217.0,134948899267.21973
4524,414,132203781217.0,14422493326028.104
4525,414,132203781217.0,739966077197.7823
4526,414,132203781217.0,6269370852685.937
4527,414,132203781217.0,2144142305318.6855
4528,414,132203781217.0,10061541898911.652
4529,414,132203781217.0,1552689650704.1152
4530,414,132203781217.0,166439986539.3397
4531,414,132203781217.0,11512660385.421576
4532,414,132203781217.0,19266995995997.586
4533,414,132203781217.0,3096745939290.701
4534,414,132203781217.0,127295454165.86284
4535,414,132203781217.0,4767058773900.504
4536,414,132203781217.0,4118643570982.06
4537,414,132203781217.0,25437917541300.332
4538,414,132203781217.0,3599520786008.027
4539,414,132203781217.0,73198993898.16112
4540,414,132203781217.0,766092485649.2064
4541,414,132203781217.0,12352006622239.84
4542,414,132203781217.0,21959363083.113605
4543,414,132203781217.0,83285150808970.75
4544,414,132203781217.0,8535489341634.9
4545,414,132203781217.0,542061912.0091038
4546,414,132203781217.0,6122904919.738004
4547,414,132203781217.0,2375993713.7932553
4548,414,132203781217.0,444098961926.0702
4549,414,132203781217.0,232413968.1875747
4550,414,132203781217.0,1198427755.5504038
4551,414,132203781217.0,6276642269.019252
4552,414,132203781217.0,5714194438.593187
4553,414,132203781217.0,409272517210.5427
4554,414,132203781217.0,38402168352835.77
4555,414,132203781217.0,5077865732913.85
4556,414,132203781217.0,662330708010.155
4557,414,132203781217.0,190934515274.87274
4558,414,132203781217.0,89480987264.57933
4559,414,132203781217.0,716463531119.8405
4560,414,132203781217.0,194966474142.52014
4561,414,132203781217.0,225779607808.35248
4562,414,132203781217.0,15296758183318.137
4563,414,132203781217.0,411984742823.82574
4564,414,132203781217.0,340043719868.3592
4565,414,132203781217.0,1527514337433.8123
4566,414,132203781217.0,11054176731147.725
4567,414,132203781217.0,9673908768376.732
4568,414,132203781217.0,31781589776905.805
4569,414,132203781217.0,15416961019020.15
4570,414,132203781217.0,2644366660837.5396
4571,414,132203781217.0,15399541696904.854
4572,414,132203781217.0,137659264294.72333
4573,414,132203781217.0,22603684736.63793
4574,414,132203781217.0,1395519040627.924
4575,414,132203781217.0,863121989759.8776
4576,414,132203781217.0,19371401463.4403
4577,414,132203781217.0,523694723.32997334
4578,414,132203781217.0,2187974683190.9688
4579,414,132203781217.0,21219826648314.723
4580,414,132203781217.0,385629755076.44324
4581,414,132203781217.0,8369199658.36765
4582,414,132203781217.0,1012174470181.9758
4583,414,132203781217.0,18757009438752.52
4584,414,132203781217.0,471724879822.6585
4585,414,132203781217.0,85857569465.93791
4586,414,132203781217.0,201603074862.88333
4587,414,132203781217.0,34935819516736.08
4588,414,132203781217.0,107248907624.66985
4589,414,132203781217.0,70244037148.30142
4590,414,132203781217.0,452670913852.33856
4591,414,132203781217.0,142785488458.76743
4592,414,132203781217.0,771122422404.3971
4593,414,132203781217.0,60899914856.415306
4594,414,132203781217.0,1659577539641.0715
4595,414,132203781217.0,40410327396120.93
4596,414,132203781217.0,7939521818096.53
4597,414,132203781217.0,648792175004.3608
4598,414,132203781217.0,763102101142.5077
4599,414,132203781217.0,8711794658.989836
4600,414,132203781217.0,2059546605186.4343
4601,414,132203781217.0,793784626.5522534
4602,414,132203781217.0,5235168179456.271
4603,414,132203781217.0,29287271285.810146
4604,414,132203781217.0,9736944111952.889
4605,414,132203781217.0,591559099573.0883
4606,414,132203781217.0,431837595755.09796
4607,414,132203781217.0,556920749985.836
4608,414,132203781217.0,9813536554.367935
4609,414,132203781217.0,3734058192.900795
4610,414,132203781217.0,22005578788.937614
4611,414,132203781217.0,2581014423621.1943
4612,414,132203781217.0,39010235653.17901
4613,414,132203781217.0,16579331975.903202
4614,414,132203781217.0,272287364641.88568
4615,414,132203781217.0,4323621300210.5527
4616,414,132203781217.0,523336503840.1162
4617,414,132203781217.0,5738789838.959213
4618,414,132203781217.0,30195619996679.285
4619,414,132203781217.0,6334416593846.034
4620,414,132203781217.0,7604535009468.744
4621,414,132203781217.0,152898666145.05624
4622,414,132203781217.0,1713052700833.1528
4623,414,132203781217.0,3477233445.429795
4624,414,132203781217.0,14006752549883.807
4625,414,132203781217.0,13027959269381.287
4626,414,132203781217.0,21611062425.329437
4627,414,132203781217.0,5973190187908.342
4628,414,132203781217.0,6269569781592.828
4629,414,132203781217.0,2349577282054.071
4630,414,132203781217.0,2210350195887.776
4631,414,132203781217.0,385836149559.9443
4632,414,132203781217.0,35060688963.870445
4633,414,132203781217.0,898326560572.0936
4634,414,132203781217.0,12569934357098.754
4635,414,132203781217.0,23318574869071.96
4636,414,132203781217.0,404309571391.27057
4637,414,132203781217.0,40440890893966.234
4638,414,132203781217.0,6021040650215.738
4639,414,132203781217.0,24005704812129.32
4640,414,132203781217.0,378906944213.5008
4641,414,132203781217.0,172393662004.629
4642,414,132203781217.0,359142251195.25806
4643,414,132203781217.0,2880552578262.297
4644,414,132203781217.0,149620641141.31235
4645,414,132203781217.0,43116398976.798645
4646,414,132203781217.0,8174894454334.264
4647,414,132203781217.0,91561257301.2289
4648,414,132203781217.0,187028980147.90692
4649,414,132203781217.0,15488296006992.309
4650,414,132203781217.0,103076179113.13115
4651,414,132203781217.0,23991794186035.344
4652,414,132203781217.0,805871342178.7865
4653,414,132203781217.0,3730248939105.2744
4654,414,132203781217.0,28967365522.600327
4655,414,132203781217.0,234685943244.96292
4656,414,132203781217.0,7216788912058.711
4657,414,132203781217.0,337895972601.8973
4658,414,132203781217.0,3797789256020.0015
4659,414,132203781217.0,335594191227.69183
4660,414,132203781217.0,159173357993.7247
4661,414,132203781217.0,16933589073728.064
4662,414,132203781217.0,338609181782.4227
4663,414,132203781217.0,27457897309.377106
4664,414,132203781217.0,20474967069777.117
4665,414,132203781217.0,6405603440.487761
16694,491,513853.579677,23908.38901007427
16695,491,513853.579677,453346.23285844835
16696,491,513853.579677,992012.9625480318
16697,491,513853.579677,2573.136808153676
16698,491,513853.579677,35695.357954992855
16699,491,513853.579677,8511356.217777658
16700,491,513853.579677,13204625.387292892
16701,491,513853.579677,2134752.999182417
16702,491,513853.579677,96007.48163845527
16703,491,513853.579677,221194.3195648505
16704,491,513853.579677,4737.549842480033
16705,491,513853.579677,32668.667109610662
16706,491,513853.579677,16295.152438975982
16707,491,513853.579677,34333366.116430126
16708,491,513853.579677,64365574.23417747
16709,491,513853.579677,75484.86458837685
16710,491,513853.579677,476213354.67833716
16711,491,513853.579677,73326709.51396641
16712,491,513853.579677,25593.972677948594
16713,491,513853.579677,3367.7227297105287
16714,491,513853.579677,25628216.25884866
16715,491,513853.579677,343186902.3035187
16716,491,513853.579677,18624.417283824074
16717,491,513853.579677,52345.47780488292
16718,491,513853.579677,1005617.9558092739
16719,491,513853.579677,4523984.8661289485
16720,491,513853.579677,3419193755.1991243
16721,491,513853.579677,756596.1534902832
16722,491,513853.579677,30132.846794545945
16723,491,513853.579677,894.2666181310921
16724,491,513853.579677,1192179.102142202
16725,491,513853.579677,6613004.7549068015
16726,491,513853.579677,4712554.475573065
16727,491,513853.579677,192853.66389022057
16728,491,513853.579677,969.8357194829008
16729,491,513853.579677,24320.11782954182
16730,491,513853.579677,1074033.6403657927
16731,491,513853.579677,644606.0797906083
16732,491,513853.579677,545091.5422264679
16733,491,513853.579677,40157.76274081031
16734,491,513853.579677,1062883.6798282475
16735,491,513853.579677,58009.624633741434
16736,491,513853.579677,412787.31429721846
16737,491,513853.579677,410586.1442729632
16738,491,513853.579677,32158660.10602768
16739,491,513853.579677,7282498.914675576
16740,491,513853.579677,1135542.8924924107
16741,491,513853.579677,800871.7115925207
16742,491,513853.579677,2631675.4604191114
16743,491,513853.579677,1786640.790380175
16744,491,513853.579677,30240.127568665055
16745,491,513853.579677,5522023.9061015975
16746,491,513853.579677,4380742.46104868
16747,491,513853.579677,2388.8815139605977
16748,491,513853.579677,5584453.726808297
16749,491,513853.579677,12088714.824520105
16750,491,513853.579677,333965.94589399674
16751,491,513853.579677,14646.332005076032
16752,491,513853.579677,146755156.16541788
16753,491,513853.579677,6400.661109094219
16754,491,513853.579677,117194.99310735626
16755,491,513853.579677,1818609.110786356
16756,491,513853.579677,1332253.9837729388
16757,491,513853.579677,15422.758258427504
16758,491,513853.579677,8349565.356357965
16759,491,513853.579677,73414.66828844754
16760,491,513853.579677,77302.86278053845
16761,491,513853.579677,221821.53021538752
16762,491,513853.579677,103388.46975055076
16763,491,513853.579677,40118.041874157185
16764,491,513853.579677,2200.4937532029153
16765,491,513853.579677,42748.07215266796
16766,491,513853.579677,17559.153655289985
16767,491,513853.579677,126995.6197928524
16768,491,513853.579677,7288.779022857503
16769,491,513853.579677,82245410.16599236
16770,491,513853.579677,2151482.1273558624
16771,491,513853.579677,15936.316205088235
16772,491,513853.579677,15641.513578670389
16773,491,513853.579677,5275.745090248029
16774,491,513853.579677,1768462.1851699313
16775,491,513853.579677,4406.594115539157
16776,491,513853.579677,15097.748079879902
16777,491,513853.579677,22225468.847915873
16778,491,513853.579677,289131.37710480986
16779,491,513853.579677,138181.84416194793
16780,491,513853.579677,4000.7745957534703
16781,491,513853.579677,31080.71857709829
16782,491,513853.579677,235506.108097509
16783,491,513853.579677,3304.692444915136
16784,491,513853.579677,27850613.1239335
16785,491,513853.579677,1029.4116530686945
16786,491,513853.579677,47461.84879872973
16787,491,513853.579677,1152739.701397724
16788,491,513853.579677,4339390.6082319105
16789,491,513853.579677,336790.54664746893
16790,491,513853.579677,6227.547102253133
16791,491,513853.579677,4326930.558338079
16792,491,513853.579677,105257.12072943502
16793,491,513853.579677,28688.115714291518
16794,491,513853.579677,100552.8819036766
16795,491,513853.579677,618958.2287404553
16796,491,513853.579677,1842.8474460621248
16797,491,513853.579677,610.2986924583053
16798,491,513853.579677,679677.2515763424
16799,491,513853.579677,91787.15421519786
16800,491,513853.579677,1620584.3671402058
16801,491,513853.579677,105771.39713404392
16802,491,513853.579677,96556055.41657205
16803,491,513853.579677,205300.55736938035
16804,491,513853.579677,93422.4093197165
16805,491,513853.579677,77115.44304363818
16806,491,513853.579677,7576.892975392826
16807,491,513853.579677,172031.1045054164
16808,491,513853.579677,107479256.37283903
16809,491,513853.579677,1902924.5308390453
16810,491,513853.579677,34159.283709251664
16811,491,513853.579677,523904.1129540993
16812,491,513853.579677,346059.48393459036
16813,491,513853.579677,12762270.59495134
16814,491,513853.579677,258398.1602920269
16815,491,513853.579677,15276.379759669691
16816,491,513853.579677,32683.602986279337
16817,491,513853.579677,94421.54613833776
16818,491,513853.579677,5414906.171454307
16819,491,513853.579677,2551608.4180083326
16820,491,513853.579677,2547774.7243982665
16821,491,513853.579677,6932.450911683595
16822,491,513853.579677,4939145664.705469
16823,491,513853.579677,342999.9325882787
16824,491,513853.579677,7692834.464610166
16825,491,513853.579677,4736778.181966689
16826,491,513853.579677,247213.65343227462
16827,491,513853.579677,632988504.7774762
16828,491,513853.579677,718193.114052438
16829,491,513853.579677,16672.979281956385
16830,491,513853.579677,2364151.668702322
16831,491,513853.579677,644614.1673012676
16832,491,513853.579677,3306.521349451693
16833,491,513853.579677,2281177.4533611746
16834,491,513853.579677,7861910.690029154
16835,491,513853.579677,1369389.4806328604
16836,491,513853.579677,7186.420164420116
16837,491,513853.579677,4607787.80553137
16838,491,513853.579677,178240.78378570845
16839,491,513853.579677,29533607.00912744
16840,491,513853.579677,190236.805782211
16841,491,513853.579677,3173289.3366812374
16842,491,513853.579677,2733.1972175585006
16843,491,513853.579677,65389.970728952816
16844,491,513853.579677,5927.85498976129
16845,491,513853.579677,72090885.90841864
16846,491,513853.579677,2483073.0015699677
16847,491,513853.579677,58378.6163381882
16848,491,513853.579677,1817587.6355969696
3554,504,45098.7,201491.76334210165
3555,504,45098.7,254.59911721810113
3556,504,45098.7,9048.552780800943
3557,504,45098.7,158092.17567526942
3558,504,45098.7,294.1883063301291
3559,504,45098.7,47500.50481726391
3560,504,45098.7,5715258.474365528
3561,504,45098.7,1554.5540213241018
3562,504,45098.7,108.20990366374382
3563,504,45098.7,2025.1851929353898
3564,504,45098.7,140241.14817701682
3565,504,45098.7,3361.570701310982
3566,504,45098.7,3753942.8489750256
3567,504,45098.7,5890083.450341007
3568,504,45098.7,23016.016832628502
3569,504,45098.7,6762.317930175241
3570,504,45098.7,22426.811063750774
3571,504,45098.7,622.8809252969029
3572,504,45098.7,61.72868133584774
3573,504,45098.7,8458.721155706138
3574,504,45098.7,129462.45018509094
3575,504,45098.7,378124.69634532096
3576,504,45098.7,8791.572352289086
3577,504,45098.7,10776.866651561784
3578,504,45098.7,365.72554149484097
3579,504,45098.7,6365.277087098014
3580,504,45098.7,6087.126697694947
3581,504,45098.7,73928.90416730937
3582,504,45098.7,52.38985572591251
3583,504,45098.7,40650.91060335345
3584,504,45098.7,5981.677435944898
3585,504,45098.7,215227.80770800487
3586,504,45098.7,69007.43496751586
3587,504,45098.7,3218.8143258262703
3588,504,45098.7,9397.722610819137
3589,504,45098.7,26598.247980097934
3590,504,45098.7,13874.137148315378
3591,504,45098.7,247.02852759689537
3592,504,45098.7,10397449.748747068
3593,504,45098.7,38530.28721397581
3594,504,45098.7,3571576.3985411897
3595,504,45098.7,10896.040412067336
3596,504,45098.7,17408.904433789376
3597,504,45098.7,145453.76317809813
3598,504,45098.7,22353.341453563316
3599,504,45098.7,37598.98027653983
3600,504,45098.7,6388.712142102779
3601,504,45098.7,10624.621218895363
3602,504,45098.7,351.78464842340486
3603,504,45098.7,56980.245646177296
3604,504,45098.7,62369.62991496098
3605,504,45098.7,32796.54256875754
3606,504,45098.7,411211.5426858367
3607,504,45098.7,1796.247596617925
3608,504,45098.7,813.9444945089999
3609,504,45098.7,182346.81753919512
3610,504,45098.7,6898.705209953358
3611,504,45098.7,108.89042414858457
3612,504,45098.7,3008.8209422819723
3613,504,45098.7,637967.8259601446
3614,504,45098.7,985482.2439472288
3615,504,45098.7,871.3794349055618
3616,504,45098.7,1145.2521355940694
3617,504,45098.7,78378.70648269031
3618,504,45098.7,658697.9490347098
3619,504,45098.7,118328.77755369895
3620,504,45098.7,9681.073012741987
3621,504,45098.7,95.9345422616294
3622,504,45098.7,79.27149634214426
3623,504,45098.7,1920.2483560451337
3624,504,45098.7,33308.94471806275
3625,504,45098.7,439.41737620393206
3626,504,45098.7,9858.438986575515
3627,504,45098.7,51043.39116207842
3628,504,45098.7,54879.231044922504
3629,504,45098.7,1073.6340006806254
3630,504,45098.7,389.38604520126296
3631,504,45098.7,806.9141713231481
3632,504,45098.7,34252.414080188355
3633,504,45098.7,546.7125035644107
3634,504,45098.7,246.57902144382797
3635,504,45098.7,720.6478275284704
3636,504,45098.7,1075876.3182279118
3637,504,45098.7,53448.50436405194
3638,504,45098.7,878.8551341997915
3639,504,45098.7,61063.60596650427
3640,504,45098.7,62463.68612614717
3641,504,45098.7,1183888.6510790328
3642,504,45098.7,1817.1446817950866
3643,504,45098.7,15998.371496255535
3644,504,45098.7,4374011.323672056
3645,504,45098.7,50805.19574536262
3646,504,45098.7,208.68178390826435
3647,504,45098.7,138636.9264211231
3648,504,45098.7,641363.3331637228
3649,504,45098.7,1880987.268957012
3650,504,45098.7,109488.78112801997
3651,504,45098.7,5640.228321889537
