trade_id,factor_id,coefficient,impact_value
1511,414,132203781217.0,1864051399.8446505
1512,414,132203781217.0,339163611023.697
1513,414,132203781217.0,49508458233.65965
1514,414,132203781217.0,60542452373.47385
1515,414,132203781217.0,5082748246.579275
1516,414,132203781217.0,5109862883.900737
1517,414,132203781217.0,3099709338.4871716
1518,414,132203781217.0,6293275491.732403
1519,414,132203781217.0,29277462246.069
1520,414,132203781217.0,106878874838.81598
1521,414,132203781217.0,1993377912.8401694
1522,414,132203781217.0,54237760601.36752
1523,414,132203781217.0,2279883449.0167856
1524,414,132203781217.0,4398654821.245362
1525,414,132203781217.0,14368103367.339987
1526,414,132203781217.0,88014560278.26688
1527,414,132203781217.0,18830401631.123463
1528,414,132203781217.0,32658013294.156
1529,414,132203781217.0,23047522231.11451
1530,414,132203781217.0,20851929998333.98
1531,414,132203781217.0,395508608498.57935
1532,414,132203781217.0,159979155488.25415
1533,414,132203781217.0,77170280272.70413
1534,414,132203781217.0,3345293020.9402533
1535,414,132203781217.0,76258999007.38034
1536,414,132203781217.0,1662512904.8406496
1537,414,132203781217.0,4560179575.970551
1538,414,132203781217.0,5444863490.227336
1539,414,132203781217.0,2749429984.5413837
1540,414,132203781217.0,41129367853.15378
1541,414,132203781217.0,21531915126.188416
1542,414,132203781217.0,4686172368.906154
1543,414,132203781217.0,1980855563.121239
1544,414,132203781217.0,101691191193.57835
1545,414,132203781217.0,4426945664.410651
1546,414,132203781217.0,17388709969.50044
1547,414,132203781217.0,4160384897.9078994
1548,414,132203781217.0,4010652762.957562
1549,414,132203781217.0,10307290939.884445
1550,414,132203781217.0,12364829112.312754
1551,414,132203781217.0,3022315747.556612
1552,414,132203781217.0,44019888036.63682
1553,414,132203781217.0,68659866354.956696
1554,414,132203781217.0,17768604553.526234
1555,414,132203781217.0,9963201577.522978
1556,414,132203781217.0,3121024329.5317845
1557,414,132203781217.0,10044621320.664062
1558,414,132203781217.0,15755476235.305916
1559,414,132203781217.0,1354178814.11767
1560,414,132203781217.0,8289814915.854871
1561,414,132203781217.0,3780472874.3392887
1562,414,132203781217.0,88094244556.77727
1563,414,132203781217.0,5021595218.073641
1564,414,132203781217.0,8160660899.788331
1565,414,132203781217.0,2341179719.169196
1566,414,132203781217.0,8039666324.474253
1567,414,132203781217.0,42556554816.31731
1568,414,132203781217.0,143137075885.12607
1569,414,132203781217.0,13611737619.375904
1570,414,132203781217.0,10417446653.400473
1571,414,132203781217.0,23699505474.771656
1572,414,132203781217.0,1990380355.25376
1573,414,132203781217.0,2923165721.767435
1574,414,132203781217.0,4658376046.081153
1575,414,132203781217.0,21342444683.43129
1576,414,132203781217.0,155595825342.1422
1577,414,132203781217.0,4587374178.983325
1578,414,132203781217.0,11679417443.6796
1579,414,132203781217.0,4722460051.347949
1580,414,132203781217.0,16239064180.625572
1581,414,132203781217.0,36263994818.19124
1582,414,132203781217.0,17267987102.02837
1583,414,132203781217.0,3680518363.6209936
1584,414,132203781217.0,4577859068.001498
1585,414,132203781217.0,13739193122.125555
1586,414,132203781217.0,2273413890.736677
1587,414,132203781217.0,26804397151.866455
1588,414,132203781217.0,3801272672.642413
1589,414,132203781217.0,1337481630.8449962
1590,414,132203781217.0,29163353099.614002
1591,414,132203781217.0,1715746776297.7195
13748,414,132203781217.0,21448441847.64721
13749,414,132203781217.0,2716155155.610602
13750,414,132203781217.0,109030918870.28654
13751,414,132203781217.0,32914299995.809376
13752,414,132203781217.0,80962512094.75316
13753,414,132203781217.0,11964777595.711092
13754,414,132203781217.0,7517642051.25517
13755,414,132203781217.0,14350581304.24595
13756,414,132203781217.0,2917143884.7599144
13757,414,132203781217.0,76849496085.17172
13758,414,132203781217.0,5939846871.734127
13759,414,132203781217.0,51792334385.02997
13760,414,132203781217.0,314687156384.0109
13761,414,132203781217.0,14860463745.328548
13762,414,132203781217.0,36449522990.199394
13763,414,132203781217.0,17166212306.994045
13764,414,132203781217.0,49385869279.40884
13765,414,132203781217.0,14550642785.85932
13766,414,132203781217.0,32011773072.521286
13767,414,132203781217.0,249826756223.52725
13768,414,132203781217.0,1370887476842.973
13769,414,132203781217.0,14507744400.110405
13770,414,132203781217.0,28810776463.48614
13771,414,132203781217.0,7569885424.352772
13772,414,132203781217.0,3505075267.045426
13773,414,132203781217.0,7550925949.8148365
13774,414,132203781217.0,38964976517.86148
13775,414,132203781217.0,6054620703.7142
13776,414,132203781217.0,62461390874.56924
13777,414,132203781217.0,9183399888.75729
13778,414,132203781217.0,8025573670.034604
13779,414,132203781217.0,4204834626.415632
13780,414,132203781217.0,36971129551.06896
13781,414,132203781217.0,8080062483.729954
13782,414,132203781217.0,63583711210.07311
13783,414,132203781217.0,6535068613.806323
13784,414,132203781217.0,22883927975.624302
13785,414,132203781217.0,6593756349.086729
13786,414,132203781217.0,11573233632.45993
13787,414,132203781217.0,14133439250.099808
13788,414,132203781217.0,53413462865.98375
13789,414,132203781217.0,3414460572.3530517
13790,414,132203781217.0,24658823414.19174
13791,414,132203781217.0,16290633857.598204
13792,414,132203781217.0,4149510596.7842526
13793,414,132203781217.0,3543486163.8024445
13794,414,132203781217.0,49296456198.67279
13795,414,132203781217.0,24476193783.51381
13796,414,132203781217.0,6620348011.200273
13797,414,132203781217.0,5037864458.261772
13798,414,132203781217.0,14414906197.55979
13799,414,132203781217.0,1634202956.4310036
13800,414,132203781217.0,3004915870.2510843
13801,414,132203781217.0,19093637045.35175
13802,414,132203781217.0,4852623487.255058
13803,414,132203781217.0,1626875058.2531874
13804,414,132203781217.0,3571083023.2999887
13805,414,132203781217.0,144885301549.25345
13806,414,132203781217.0,7885285054.016858
13807,414,132203781217.0,20449959167.067177
13808,414,132203781217.0,4212986287.1474333
13809,414,132203781217.0,53723312640.19253
13810,414,132203781217.0,11574106521.582067
13811,414,132203781217.0,10576150864.580585
13812,414,132203781217.0,5069987655.466901
13813,414,132203781217.0,33125231543.464363
13814,414,132203781217.0,7437971291.18954
13815,414,132203781217.0,1575864350.5014753
13816,414,132203781217.0,26620367393.643475
13817,414,132203781217.0,96866008346.73361
13818,414,132203781217.0,38868707045.75606
13819,414,132203781217.0,1597978278.1733572
13820,414,132203781217.0,52648522374.55636
13821,414,132203781217.0,15403831850.402372
13822,414,132203781217.0,38465518919.088875
13823,414,132203781217.0,13265162356.709898
13824,414,132203781217.0,74647001648.57771
13825,414,132203781217.0,2748047672.513485
13826,414,132203781217.0,724178836296.77
