trade_id,factor_id,coefficient,impact_value
23522,8,66323947830.0,994617377.2488456
23523,8,66323947830.0,6813901970.423868
23524,8,66323947830.0,973627235.3239632
23525,8,66323947830.0,1868321143.758571
23526,8,66323947830.0,5271619306.059791
23527,8,66323947830.0,48832707473.515076
23528,8,66323947830.0,1057538366.4129355
23529,8,66323947830.0,17423860865.744488
23530,8,66323947830.0,45882429640.04061
23531,8,66323947830.0,685041261.499641
23532,8,66323947830.0,1514605602.5397134
23533,8,66323947830.0,9849161669.994905
23534,8,66323947830.0,770248839.544309
23535,8,66323947830.0,2675308568.4806075
23536,8,66323947830.0,978399195.9288118
23537,8,59289732070.0,2562038230.40309
23538,8,59289732070.0,6939505079.326649
23539,8,59289732070.0,38227440259.95868
23540,8,59289732070.0,726439994.1107398
23541,8,59289732070.0,5506485922.468129
23542,8,59289732070.0,14116213297.5671
23543,8,59289732070.0,28293161973.56309
23544,8,59289732070.0,272861182829.56134
23545,8,59289732070.0,7396174240.0188465
23546,8,59289732070.0,134680637065.16043
23547,8,59289732070.0,346169153802.3714
23548,8,59289732070.0,1037068839.3292681
23549,8,59289732070.0,3362349701.1790156
23550,8,59289732070.0,3120765020.6140337
23551,8,59289732070.0,3000166314.9995327
23552,8,59289732070.0,8422822634.893741
23553,8,59289732070.0,2728777069.822392
23554,8,59289732070.0,2332172336.5215554
23555,8,59289732070.0,864672068.0470824
23556,8,59289732070.0,835620842.274628
23557,8,59289732070.0,3300985410.587226
23558,8,59289732070.0,86613954793.2814
23559,8,59289732070.0,1098357673.1122785
23560,8,59289732070.0,1979607925.9633422
23561,8,59289732070.0,5675153338.126193
23562,8,59289732070.0,20057697891.30023
23563,8,59289732070.0,5436358357.412026
23564,8,59289732070.0,3501553030.6261
23565,8,59289732070.0,1834029648.381435
23970,8,74484664398.0,2167497378.667192
23971,8,74484664398.0,1946802319.832584
23972,8,74484664398.0,1234356832.5237525
23973,8,74484664398.0,2112145796.8272252
23974,8,74484664398.0,35087935603.21553
23975,8,74484664398.0,6440373436.003179
23976,8,74484664398.0,1070388562.7297417
23977,8,74484664398.0,3712039898.364564
23978,8,74484664398.0,37990300171.48009
23979,8,74484664398.0,3426166793.0054936
23980,8,74484664398.0,13303576703.378166
23981,8,74484664398.0,47405645503.2874
23982,8,74484664398.0,6228293674.306961
23983,8,74484664398.0,40478970104.811516
23984,8,74484664398.0,926724167.413432
23985,8,74484664398.0,58402984406.22686
23986,8,74484664398.0,3757506147.3923078
23987,8,74484664398.0,53396195431.883766
23988,8,74484664398.0,4480907222.200529
23989,8,74484664398.0,8153293962.323941
23990,8,74484664398.0,77447011719.8266
23991,8,74484664398.0,1021539017.9521408
23992,8,74484664398.0,57232435958.08248
23993,8,74484664398.0,12450135677.143116
23994,8,74484664398.0,34396730330.32245
23995,8,74484664398.0,9422817481.24204
23996,8,74484664398.0,36044383053.45394
23997,8,74484664398.0,2652585777.5636606
23998,8,74484664398.0,16392074126.224121
23999,8,74484664398.0,774603885.6818547
24000,8,74484664398.0,57795042175.266495
24001,8,74484664398.0,2551973322.225758
24002,8,74484664398.0,9475370823.99944
24003,8,74484664398.0,1313392919.5523307
24004,8,74484664398.0,48504240744.21512
24005,8,74484664398.0,885387053.2429878
24006,8,74484664398.0,3095449677.285591
24007,8,74484664398.0,54993373852.86497
24008,8,74484664398.0,277884336977.82654
24009,8,74484664398.0,1214767640.1885822
24010,8,74484664398.0,3829851497.1350937
24011,8,74484664398.0,4056709784.899816
24012,8,74484664398.0,788936660.9502703
24013,8,74484664398.0,8299150070.126609
24014,8,74484664398.0,5557955942.127429
24015,8,74484664398.0,38253723140.37262
24016,8,74484664398.0,752059131.9941537
24017,8,74484664398.0,2638475785.010298
24018,8,74484664398.0,3561266305.428354
24019,8,74484664398.0,4440321550.924216
24020,8,74484664398.0,8926592189.73583
24021,8,74484664398.0,118069352355.80165
24022,8,74484664398.0,47270699359.65238
24023,8,74484664398.0,1021137541.7452816
24024,8,74484664398.0,22744332991.94214
24025,8,74484664398.0,1067275092.9501805
24026,8,74484664398.0,3188826098.174601
24027,8,74484664398.0,8281876026.218944
24028,8,74484664398.0,10219779200.586544
24029,8,74484664398.0,41690103437.05594
24030,8,74484664398.0,1422044208.7911377
24031,8,74484664398.0,11196552919.265976
24032,8,74484664398.0,1485259211.434204
24033,8,74484664398.0,21345403744.824276
24034,8,74484664398.0,14671229417.214836
24035,8,74484664398.0,43745857117.34045
26181,414,96755212516.4,1940902602.4219158
26182,414,96755212516.4,3189436255.9978876
26183,414,96755212516.4,27598169883.435333
26184,414,96755212516.4,3304587969.1691346
26185,414,96755212516.4,45901171148.729355
26186,414,96755212516.4,1783817346.197357
26187,414,96755212516.4,1983968720930.0325
26188,414,96755212516.4,503679327155.2499
26189,414,96755212516.4,446764144863.5712
26190,414,96755212516.4,7461249404.357011
26191,414,96755212516.4,93602004583.93309
26192,414,96755212516.4,40930292835.411514
26193,414,96755212516.4,1608962235936.658
26194,414,96755212516.4,131654780801.52419
26195,414,96755212516.4,5987726353.10629
26196,414,96755212516.4,7282454052.595725
26197,414,96755212516.4,3350584838.321973
26198,414,96755212516.4,1470708802.7156193
26199,414,96755212516.4,106438637047.28522
26200,414,96755212516.4,2946345870.1378317
26201,414,96755212516.4,76207897852.42279
26202,414,96755212516.4,6830735565.280094
26203,414,96755212516.4,1188406131.1928675
26204,414,96755212516.4,32071045642.774296
26205,414,96755212516.4,43250304814.63869
35222,414,83166705346.9,22864377548.39551
35223,414,83166705346.9,3870848313.1795955
35224,414,83166705346.9,9205352952.898266
35225,414,83166705346.9,11394650237.773438
35226,414,83166705346.9,89582774214.3389
35227,414,83166705346.9,20411008475.935463
35228,414,83166705346.9,12905369093.193022
35229,414,83166705346.9,2122881041.84864
35230,414,83166705346.9,6991168699.126979
35231,414,83166705346.9,6084756083.688375
35232,414,83166705346.9,233359498499.0421
35233,414,83166705346.9,915988447.9394207
35234,414,83166705346.9,14154860606.062654
35235,414,83166705346.9,5401730674.077597
35236,414,83166705346.9,96863767474.43788
35237,414,83166705346.9,42804635380.59642
35238,414,83166705346.9,4152752865.197115
35239,414,83166705346.9,178105242517.7605
35240,414,83166705346.9,124414954080.99725
35241,414,83166705346.9,6817133960.517048
35242,414,83166705346.9,6258926804.252752
35243,414,83166705346.9,15683280764.677988
35244,414,83166705346.9,26176887047.76723
35245,414,83166705346.9,64342844196.23544
35246,414,83166705346.9,1895722819.54401
35247,414,83166705346.9,368677951327.4478
35248,414,83166705346.9,213301511859.2009
35249,414,83166705346.9,5119462051.066601
35250,414,83166705346.9,1918198291.8082228
35251,414,83166705346.9,5380027356.660391
35252,414,83166705346.9,2549629988.123406
35253,414,83166705346.9,62979609755.431465
35254,414,83166705346.9,7491970818.218757
35255,414,83166705346.9,1168900113.497408
35256,414,83166705346.9,29076715800.926285
35257,414,83166705346.9,558725213553.097
35258,414,83166705346.9,23318685724.38796
35259,414,83166705346.9,20683175261.7681
35260,414,83166705346.9,26774225339.001118
35261,414,83166705346.9,6447774354.7304325
35262,414,83166705346.9,16834461068.350122
35263,414,83166705346.9,2126918543.7606862
35264,414,83166705346.9,2031705775.3735826
35265,414,83166705346.9,81076417057.01253
35266,414,83166705346.9,12550898416.578272
35267,414,83166705346.9,5270193368.933531
35268,414,83166705346.9,140168298395.82712
35269,414,83166705346.9,1750118561.8384223
35270,414,83166705346.9,9197133154.02713
35271,414,83166705346.9,1170384843.8361619
35272,414,83166705346.9,1528486286891.2205
35273,414,83166705346.9,2181501465.6430254
35274,414,83166705346.9,31794644594.04348
35275,414,83166705346.9,1013766873557.8596
35276,414,83166705346.9,19148882229.784504
35277,414,83166705346.9,1565534316.7493746
35278,414,83166705346.9,6311457990.980961
35279,414,83166705346.9,4871327397.115268
35280,414,83166705346.9,11475807072.730062
35281,414,83166705346.9,22190142423.6133
35282,414,83166705346.9,705910894796.0548
35283,414,83166705346.9,10223600978.222061
35284,414,83166705346.9,2683017082.886296
35285,414,83166705346.9,10521430352.980183
35286,414,83166705346.9,20198867701.801155
35287,414,83166705346.9,1080702400.2111726
35288,414,83166705346.9,10504430846.954336
35289,414,83166705346.9,221411104186.27533
