trade_id,year,region1,region2,industry1,industry2,amount
2496,2022,IN,IN,CONST,CONST,60705.34
12910,2022,IN,IN,VEGET,FOOD5,55891.84
721,2022,IN,IN,BASIC,CONST,48611.82
9099,2022,IN,IN,PFERT,PFERT,47207.67
8786,2022,IN,IN,PADDY,PADDY,41958.94
1166,2022,IN,IN,BITUM,BASIC,41172.08
4819,2022,IN,IN,FISHF,FISH5,39257.96
5417,2022,IN,IN,GASDI,LANDT,35824.22
1631,2022,IN,IN,CEMEN,CONST,35697.32
12384,2022,IN,IN,TEXTI,TEXTI,31019.27
2866,2022,IN,IN,CRUDE,GASDI,26896.79
5386,2022,IN,IN,GASDI,CONST,24114.51
11321,2022,IN,IN,RUBBE,CONST,21249.45
6378,2022,IN,IN,LANDT,CONST,20736.87
9524,2022,IN,IN,POSTT,POSTT,20461.51
10604,2022,IN,IN,RAWMI,DAIRY,19211.79
1421,2022,IN,IN,BUSIN,CONST,18898.88
1716,2022,IN,IN,CERAM,CONST,18561.21
8437,2022,IN,IN,NONME,CONST,15553.59
7679,2022,IN,IN,MOTO1,MOTO1,15437.25
2884,2022,IN,IN,CRUDE,MOTOR,15312.59
4591,2022,IN,IN,FINAN,CONST,13795.14
9311,2022,IN,IN,PLANT,TEXTI,13194.29
13191,2022,IN,IN,WHOLE,BASIC,13146.67
765,2022,IN,IN,BASIC,MOTO1,12977.44
1193,2022,IN,IN,BITUM,ELEC1,11395.72
575,2022,IN,IN,AUXIL,FINAN,11155.96
11474,2022,IN,IN,SALEM,LANDT,10265.35
13310,2022,IN,IN,WHOLE,TEXTI,10241.67
1794,2022,IN,IN,CEREA,FOOD5,10235.84
9636,2022,IN,IN,PREC1,FOUND,10179.82
2228,2022,IN,IN,COKEO,BASIC,10082.10
9836,2022,IN,IN,PRINT,PRINT,9684.34
7792,2022,IN,IN,MOTOR,LANDT,9253.43
5131,2022,IN,IN,FOUND,CONST,8838.14
1178,2022,IN,IN,BITUM,CEMEN,8717.75
8742,2022,IN,IN,OILSE,VEGE1,8586.52
733,2022,IN,IN,BASIC,ELECT,8522.71
13192,2022,IN,IN,WHOLE,BEVER,8180.38
4673,2022,IN,IN,FINAN,REALE,7650.66
12882,2022,IN,IN,VEGET,BEVER,7478.71
12391,2022,IN,IN,TEXTI,WEARI,7319.55
13180,2022,IN,IN,WHEAT,WHEAT,6805.99
5444,2022,IN,IN,GASDI,PADDY,6764.68
13315,2022,IN,IN,WHOLE,VEGE1,6763.43
8914,2022,IN,IN,PAPER,PRINT,6701.64
13319,2022,IN,IN,WHOLE,WHOLE,6469.47
13233,2022,IN,IN,WHOLE,FOOD5,6268.34
6399,2022,IN,IN,LANDT,FOOD5,6121.13
13263,2022,IN,IN,WHOLE,MOTO1,6064.66
9071,2022,IN,IN,PFERT,GASDI,5982.00
1260,2022,IN,IN,BITUM,RUBBE,5855.15
11032,2022,IN,IN,RETA1,BEVER,5755.31
12198,2022,IN,IN,SUPPO,LANDT,5703.05
5390,2022,IN,IN,GASDI,CRUDE,5485.95
13229,2022,IN,IN,WHOLE,FABRI,5473.97
1201,2022,IN,IN,BITUM,FURNI,5385.18
4321,2022,IN,IN,ELECT,CONST,5384.54
11151,2022,IN,IN,RETA1,TEXTI,5199.64
13283,2022,IN,IN,WHOLE,POSTT,5167.90
9095,2022,IN,IN,PFERT,PADDY,5065.80
4503,2022,IN,IN,FABRI,MOTO1,5057.80
8223,2022,IN,IN,NFERT,PFERT,4930.79
4470,2022,IN,IN,FABRI,FABRI,4923.51
13126,2022,IN,IN,WHEAT,FOOD5,4875.91
6476,2022,IN,IN,LANDT,TEXTI,4869.41
2876,2022,IN,IN,CRUDE,LIQUE,4780.15
2849,2022,IN,IN,CRUDE,CRUDE,4714.40
8904,2022,IN,IN,PAPER,PAPER,4561.80
10426,2022,IN,IN,RADIO,RADIO,4502.27
5472,2022,IN,IN,GASDI,SEACO,4496.20
2846,2022,IN,IN,CRUDE,COKEO,4424.32
6356,2022,IN,IN,LANDT,BASIC,4397.94
1172,2022,IN,IN,BITUM,BITUM,4396.51
12663,2022,IN,IN,TRAN2,TRAN2,4342.77
13092,2022,IN,IN,WEARI,TEXTI,4186.44
1409,2022,IN,IN,BUSIN,BUSIN,4134.04
5538,2022,IN,IN,GLASS,CONST,4104.53
1945,2022,IN,IN,CHEM1,CONST,4095.06
6655,2022,IN,IN,LEATH,LEATH,3974.54
12259,2022,IN,IN,SUPPO,SUPPO,3965.96
11408,2022,IN,IN,RUBBE,RUBBE,3961.72
12967,2022,IN,IN,VEGET,VEGET,3799.84
4609,2022,IN,IN,FINAN,FINAN,3730.34
9053,2022,IN,IN,PFERT,CHEM1,3699.20
4889,2022,IN,IN,FOOD5,BEVER,3654.11
12163,2022,IN,IN,SUPPO,CONST,3593.20
6429,2022,IN,IN,LANDT,MOTO1,3579.70
11741,2022,IN,IN,SEACO,SEACO,3547.35
1778,2022,IN,IN,CEREA,CEREA,3531.06
12039,2022,IN,IN,SUGAR,BEVER,3515.69
11053,2022,IN,IN,RETA1,CONST,3509.48
11157,2022,IN,IN,RETA1,VEGE1,3507.38
6475,2022,IN,IN,LANDT,SUPPO,3449.34
9087,2022,IN,IN,PFERT,MOTOR,3405.49
1491,2022,IN,IN,BUSIN,POSTT,3403.20
5406,2022,IN,IN,GASDI,FURNI,3368.44
4396,2022,IN,IN,ELECT,RADIO,3359.41
2626,2022,IN,IN,COPP1,COPP1,3239.34
12291,2022,IN,IN,TEXTI,CHEM1,3154.77
