trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
2496,2022,IN,IN,CONST,CONST,60705.34,15599265172.017,5.0,5.0,15599265172.017,3524865801.482,12074399370.535,256966.935232
12910,2022,IN,IN,VEGET,FOOD5,55891.84,7898014102.604,4.0,4.0,7898014102.604,2202854622.887,5695159479.716,141308.894153
4819,2022,IN,IN,FISHF,FISH5,39257.96,3549404709.051,3.0,3.0,3549404709.051,695441174.67,2853963534.381,90412.357368
6378,2022,IN,IN,LANDT,CONST,20736.87,1269086763.388,2.0,2.0,1269086763.388,329311312.43,939775450.958,61199.533169
12882,2022,IN,IN,VEGET,BEVER,7478.71,1056807934.695,4.0,4.0,1056807934.695,294756911.573,762051023.121,141308.853358
8786,2022,IN,IN,PADDY,PADDY,41958.94,786960542.428,1.0,1.0,786960542.428,0.0,786960542.428,18755.491498
13191,2022,IN,IN,WHOLE,BASIC,13146.67,760193502.854,2.0,2.0,760193502.854,195179379.54,565014123.314,57824.034744
2571,2022,IN,IN,CONST,PUBLI,2553.63,656198505.53,5.0,5.0,656198505.53,148276963.409,507921542.12,256966.947259
2576,2022,IN,IN,CONST,REALE,2542.27,653280022.876,5.0,5.0,653280022.876,147617492.621,505662530.255,256967.207604
13310,2022,IN,IN,WHOLE,TEXTI,10241.67,592214510.091,2.0,2.0,592214510.091,152050839.951,440163670.14,57824.017967
10604,2022,IN,IN,RAWMI,DAIRY,19211.79,581667002.733,1.0,1.0,581667002.733,0.0,581667002.733,30276.564689
12967,2022,IN,IN,VEGET,VEGET,3799.84,536950991.768,4.0,4.0,536950991.768,149762327.48,387188664.287,141308.842417
2565,2022,IN,IN,CONST,POSTT,1859.98,477952524.21,5.0,5.0,477952524.21,107999863.374,369952660.835,256966.485774
13192,2022,IN,IN,WHOLE,BEVER,8180.38,473022397.686,2.0,2.0,473022397.686,121448312.492,351574085.194,57824.012783
