trade_id,factor_id,coefficient,impact_value
696,414,250968009020.0,4280720662571.313
697,414,250968009020.0,1901656755586.6858
698,414,250968009020.0,33053389057.830338
699,414,250968009020.0,237209624808.63168
700,414,250968009020.0,3030684870.310921
701,414,250968009020.0,558486260154253.56
702,414,250968009020.0,237610692902.62628
703,414,250968009020.0,6087249948.604267
704,414,250968009020.0,324899833065.5576
705,414,250968009020.0,185829059688.19632
706,414,250968009020.0,4195966370.9375486
707,414,250968009020.0,776054598289.6079
708,414,250968009020.0,1651544352.452714
709,414,250968009020.0,212214250951.51273
710,414,250968009020.0,1422874988371.3645
711,414,250968009020.0,4957599987533.214
712,414,250968009020.0,35808552519.24704
713,414,250968009020.0,314255879679.7033
714,414,250968009020.0,8789073329354.43
715,414,250968009020.0,68258169238.28784
716,414,250968009020.0,4414515165841.426
717,414,250968009020.0,436378823704.1205
718,414,250968009020.0,499036168341.1167
719,414,250968009020.0,588069455852.7078
720,414,250968009020.0,37715303778.65325
721,414,250968009020.0,1.2200010791736574e+16
722,414,250968009020.0,3169569037429.8003
723,414,250968009020.0,1775830506.085605
724,414,250968009020.0,170658443885097.53
725,414,250968009020.0,11474642234.546686
726,414,250968009020.0,3450009408233.1226
727,414,250968009020.0,462973061100.28613
728,414,250968009020.0,114091956007.03822
729,414,250968009020.0,258188486000.7506
730,414,250968009020.0,794233646059.8923
731,414,250968009020.0,383324017793.69995
732,414,250968009020.0,1475145401.464272
733,414,250968009020.0,2138926760969806.5
734,414,250968009020.0,1285440688030.4392
735,414,250968009020.0,30019117921.101757
736,414,250968009020.0,7947595387060.725
737,414,250968009020.0,42735272723.36885
738,414,250968009020.0,531657525.1219636
739,414,250968009020.0,124938065048724.33
740,414,250968009020.0,140814293975330.12
741,414,250968009020.0,169100886920.18933
742,414,250968009020.0,9567741655.524601
743,414,250968009020.0,45771484673511.27
744,414,250968009020.0,1855824462005.0596
745,414,250968009020.0,15077740181.096518
746,414,250968009020.0,283436577827.1635
747,414,250968009020.0,2007296596483.511
748,414,250968009020.0,6467027660.062887
749,414,250968009020.0,179683004161.02173
750,414,250968009020.0,334609335998.9084
751,414,250968009020.0,138229352421.0433
752,414,250968009020.0,712745457.0973068
753,414,250968009020.0,1852542368191.9272
754,414,250968009020.0,4653336369.653939
