trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
1166,2022,IN,IN,BITUM,BASIC,41172.08,31039022037.467,1.0,1.0,31039022037.467,31039022037.467,31039022037.467,753885.206613
1193,2022,IN,IN,BITUM,ELEC1,11395.72,8591061406.115,1.0,1.0,8591061406.115,8591061406.115,8591061406.115,753884.915224
8786,2022,IN,IN,PADDY,PADDY,41958.94,8525903566.345,1.0,1.0,8525903566.345,8525903566.345,8525903566.345,203196.352585
1178,2022,IN,IN,BITUM,CEMEN,8717.75,6572184228.634,1.0,1.0,6572184228.634,6572184228.634,6572184228.634,753885.375083
1260,2022,IN,IN,BITUM,RUBBE,5855.15,4414109041.412,1.0,1.0,4414109041.412,4414109041.412,4414109041.412,753884.877657
1201,2022,IN,IN,BITUM,FURNI,5385.18,4059804652.401,1.0,1.0,4059804652.401,4059804652.401,4059804652.401,753884.670968
1172,2022,IN,IN,BITUM,BITUM,4396.51,3314466841.078,1.0,1.0,3314466841.078,3314466841.078,3314466841.078,753885.887005
12039,2022,IN,IN,SUGAR,BEVER,3515.69,1498907527.257,1.0,1.0,1498907527.257,1498907527.257,1498907527.257,426348.036163
12122,2022,IN,IN,SUGAR,SUGA1,2889.88,1232095607.698,1.0,1.0,1232095607.698,1232095607.698,1232095607.698,426348.363149
9580,2022,IN,IN,POULT,HOTEL,1319.05,950752064.681,2.0,1.0,950752064.681,950752064.681,950752064.681,720785.462781
12067,2022,IN,IN,SUGAR,FOOD5,1810.91,772076273.517,1.0,1.0,772076273.517,772076273.517,772076273.517,426347.125764
1212,2022,IN,IN,BITUM,LEAD1,716.44,540116958.203,1.0,1.0,540116958.203,540116958.203,540116958.203,753890.009216
5022,2022,IN,IN,FORES,CONST,2451.64,501850223.912,1.0,1.0,501850223.912,501850223.912,501850223.912,204699.802545
8794,2022,IN,IN,PADDY,PROCE,2300.94,467543119.558,1.0,1.0,467543119.558,467543119.558,467543119.558,203196.571644
1188,2022,IN,IN,BITUM,COPP1,582.93,439466017.986,1.0,1.0,439466017.986,439466017.986,439466017.986,753891.578725
12123,2022,IN,IN,SUGAR,SUGAR,690.05,294201201.687,1.0,1.0,294201201.687,294201201.687,294201201.687,426347.658412
1246,2022,IN,IN,BITUM,PREC1,389.76,293831469.537,1.0,1.0,293831469.537,293831469.537,293831469.537,753877.949346
1572,2022,IN,IN,CATTL,MEATC,1145.29,221189181.623,1.0,1.0,221189181.623,221189181.623,221189181.623,193129.409689
5036,2022,IN,IN,FORES,FURNI,1030.05,210850161.173,1.0,1.0,210850161.173,210850161.173,210850161.173,204698.9575
1269,2022,IN,IN,BITUM,TEXTI,271.94,205011166.444,1.0,1.0,205011166.444,205011166.444,205011166.444,753883.821593
12055,2022,IN,IN,SUGAR,CONST,469.27,200073468.459,1.0,1.0,200073468.459,200073468.459,200073468.459,426350.43463
1207,2022,IN,IN,BITUM,HOTEL,260.89,196682170.025,1.0,1.0,196682170.025,196682170.025,196682170.025,753889.26377
1179,2022,IN,IN,BITUM,CERAM,256.33,193240383.337,1.0,1.0,193240383.337,193240383.337,193240383.337,753873.457406
5034,2022,IN,IN,FORES,FORES,858.85,175807383.879,1.0,1.0,175807383.879,175807383.879,175807383.879,204700.918529
1162,2022,IN,IN,BITUM,ALUM1,230.95,174109950.771,1.0,1.0,174109950.771,174109950.771,174109950.771,753885.909379
8791,2022,IN,IN,PADDY,POULT,845.06,171712382.761,1.0,1.0,171712382.761,171712382.761,171712382.761,203195.492345
1238,2022,IN,IN,BITUM,PAPER,227.65,171618939.333,1.0,1.0,171618939.333,171618939.333,171618939.333,753871.905702
5084,2022,IN,IN,FORES,RAWMI,818.88,167624242.975,1.0,1.0,167624242.975,167624242.975,167624242.975,204699.397928
1186,2022,IN,IN,BITUM,COKIN,213.67,161079032.392,1.0,1.0,161079032.392,161079032.392,161079032.392,753868.26598
1224,2022,IN,IN,BITUM,MEDIC,199.6,150471782.261,1.0,1.0,150471782.261,150471782.261,150471782.261,753866.644594
11552,2022,IN,IN,SANDC,CERAM,48.85,149624592.082,2.0,1.0,149624592.082,149624592.082,149624592.082,3062939.448966
12052,2022,IN,IN,SUGAR,CHEM1,332.11,141595168.205,1.0,1.0,141595168.205,141595168.205,141595168.205,426350.209885
1277,2022,IN,IN,BITUM,WOODW,170.43,128482341.285,1.0,1.0,128482341.285,128482341.285,128482341.285,753871.626386
1160,2022,IN,IN,BITUM,93197,150.38,113369373.314,1.0,1.0,113369373.314,113369373.314,113369373.314,753885.977617
1240,2022,IN,IN,BITUM,PFERT,144.12,108648311.692,1.0,1.0,108648311.692,108648311.692,108648311.692,753873.936248
1176,2022,IN,IN,BITUM,BUSIN,133.39,100563320.939,1.0,1.0,100563320.939,100563320.939,100563320.939,753904.497631
1175,2022,IN,IN,BITUM,BRICK,131.33,99004870.964,1.0,1.0,99004870.964,99004870.964,99004870.964,753863.328744
1200,2022,IN,IN,BITUM,FOUND,129.33,97501942.993,1.0,1.0,97501942.993,97501942.993,97501942.993,753900.432947
9597,2022,IN,IN,POULT,PUBLI,133.02,95881473.168,2.0,1.0,95881473.168,95881473.168,95881473.168,720804.94037
12046,2022,IN,IN,SUGAR,BUSIN,221.16,94289189.676,1.0,1.0,94289189.676,94289189.676,94289189.676,426339.255182
1196,2022,IN,IN,BITUM,FABRI,123.52,93118347.458,1.0,1.0,93118347.458,93118347.458,93118347.458,753872.631622
11865,2022,IN,IN,STONE,CEMEN,215.03,90047774.405,1.0,1.0,90047774.405,90047774.405,90047774.405,418768.424894
1234,2022,IN,IN,BITUM,NONME,108.88,82080201.827,1.0,1.0,82080201.827,82080201.827,82080201.827,753859.311416
5099,2022,IN,IN,FORES,TOBAC,398.52,81576167.089,1.0,1.0,81576167.089,81576167.089,81576167.089,204697.799581
5091,2022,IN,IN,FORES,RUBBE,382.85,78370306.565,1.0,1.0,78370306.565,78370306.565,78370306.565,204702.380998
1545,2022,IN,IN,CATTL,CHEM1,397.72,76812047.121,1.0,1.0,76812047.121,76812047.121,76812047.121,193130.964299
11912,2022,IN,IN,STONE,NONME,175.71,73581950.957,1.0,1.0,73581950.957,73581950.957,73581950.957,418769.284372
11551,2022,IN,IN,SANDC,CEMEN,23.54,72106266.469,2.0,1.0,72106266.469,72106266.469,72106266.469,3063137.912872
11606,2022,IN,IN,SANDC,PRINT,20.9,64020936.763,2.0,1.0,64020936.763,64020936.763,64020936.763,3063202.715933
5018,2022,IN,IN,FORES,CHEM1,300.8,61572860.956,1.0,1.0,61572860.956,61572860.956,61572860.956,204697.011157
11578,2022,IN,IN,SANDC,GLASS,20.09,61531377.109,2.0,1.0,61531377.109,61531377.109,61531377.109,3062786.317023
1247,2022,IN,IN,BITUM,PRINT,78.31,59035183.52,1.0,1.0,59035183.52,59035183.52,59035183.52,753865.196271
1250,2022,IN,IN,BITUM,PUBLI,77.76,58623950.422,1.0,1.0,58623950.422,58623950.422,58623950.422,753908.827443
11609,2022,IN,IN,SANDC,PUBLI,19.13,58574432.385,2.0,1.0,58574432.385,58574432.385,58574432.385,3061914.918191
