trade_id,factor_id,coefficient,impact_value
79,414,250968009020.0,167186416236.43185
80,414,250968009020.0,547398697929.1933
81,414,250968009020.0,2551110325.7882605
82,414,250968009020.0,7431505189.366762
83,414,250968009020.0,159539527335.23206
84,414,250968009020.0,18595507835.19411
85,414,250968009020.0,7480886070.951593
86,414,250968009020.0,6229342972.082002
87,414,250968009020.0,926414572791.9314
88,414,250968009020.0,65690069702.872986
89,414,250968009020.0,9961225580.335806
90,414,250968009020.0,3095737423.620269
91,414,250968009020.0,25690119804.075768
92,414,250968009020.0,12545385902.380768
93,414,250968009020.0,28990778945.30813
94,414,250968009020.0,100452175364.64343
95,414,250968009020.0,6315109282.324
96,414,250968009020.0,426482929151.9246
97,414,250968009020.0,82530277670.23686
98,414,250968009020.0,10025512263.933132
99,414,250968009020.0,22576094417.330162
100,414,250968009020.0,519700228086.6842
101,414,250968009020.0,20210610380.080498
102,414,250968009020.0,38111399093.8867
103,414,250968009020.0,9613974501.693108
104,414,250968009020.0,2674574084.505699
105,414,250968009020.0,22670081401.845135
106,414,250968009020.0,3015280429.021247
107,414,250968009020.0,34719821491.444435
108,414,250968009020.0,9223727517.163292
109,414,250968009020.0,18424247129.73891
110,414,250968009020.0,9995220135.250885
111,414,250968009020.0,253584007636.52023
112,414,250968009020.0,6317095806.850224
113,414,250968009020.0,4416858961.322895
114,414,250968009020.0,3376048957.461384
115,414,250968009020.0,3821166826.523232
116,414,250968009020.0,3197960796.3183517
117,414,250968009020.0,55226877379.989655
118,414,250968009020.0,23284310774.24703
119,414,250968009020.0,12437273708.703959
120,414,250968009020.0,261839422279.11462
254,414,150738000000.0,2030993616.5625498
254,414,70007950321.9,943263810.1368401
895,8,42175538387.8,547506358.0905322
896,8,42175538387.8,5381942466.626072
897,8,42175538387.8,8513261012.956
898,8,42175538387.8,2389834938.3872952
899,8,42175538387.8,3482488901.212737
900,8,42175538387.8,14410163067.21922
901,8,42175538387.8,4553464607.1175995
902,8,42175538387.8,5112335914.316899
903,8,42175538387.8,2238788100.288703
904,8,42175538387.8,6672096987.720447
905,8,42175538387.8,44344515963.40097
906,8,42175538387.8,2106852456.907691
907,8,42175538387.8,4824540837.929012
908,8,42175538387.8,902576626.384062
909,8,42175538387.8,1014905583.3558649
910,8,42175538387.8,532153424.82265896
911,8,42175538387.8,481292844.15498275
912,8,42175538387.8,8798246872.765577
913,8,42175538387.8,4963533080.520037
914,8,42175538387.8,2301679233.3999505
915,8,42175538387.8,431105069.90639496
916,8,42175538387.8,626082732.9637226
917,8,42175538387.8,2995211791.640529
918,8,42175538387.8,2523604033.44967
919,8,42175538387.8,941534211.8332218
929,8,135708405434.0,10773405514.897873
929,414,58920615890.0,4677497212.795857
930,8,135708405434.0,6030594643.553148
930,414,58920615890.0,2618307609.2062316
931,8,135708405434.0,3310167259.821297
931,414,58920615890.0,1437177697.4598541
932,8,135708405434.0,4685606721.025345
932,414,58920615890.0,2034353236.5458677
933,8,135708405434.0,29588538664.47155
933,414,58920615890.0,12846477090.496868
934,8,135708405434.0,2118764458.8461916
934,414,58920615890.0,919905487.3706694
935,8,135708405434.0,7004619245.100395
935,414,58920615890.0,3041200570.269624
936,8,135708405434.0,15277141669.638294
936,414,58920615890.0,6632887574.90885
937,8,135708405434.0,39170025031.497765
937,414,58920615890.0,17006477910.500483
938,8,135708405434.0,12117219127.568827
938,414,58920615890.0,5260941734.501964
939,8,135708405434.0,4465354876.380418
939,414,58920615890.0,1938726334.9115467
940,8,135708405434.0,9359948039.74277
940,414,58920615890.0,4063815365.277827
941,8,135708405434.0,8195651971.4795
941,414,58920615890.0,3558312104.805575
942,8,135708405434.0,80571534531.78954
942,414,58920615890.0,34981801036.07688
943,8,135708405434.0,59877656394.842514
943,414,58920615890.0,25997125097.381886
944,8,135708405434.0,2386396152.847855
944,414,58920615890.0,1036103332.2413107
945,8,135708405434.0,6247640126.113429
945,414,58920615890.0,2712542402.31058
946,8,135708405434.0,68322889130.98225
946,414,58920615890.0,29663797862.096844
947,8,135708405434.0,110422137261.21457
947,414,58920615890.0,47942058669.94035
948,8,135708405434.0,11736406315.865677
948,414,58920615890.0,5095603962.441379
949,8,135708405434.0,12185512996.735682
949,414,58920615890.0,5290592932.745385
950,8,135708405434.0,1445328537.0380406
950,414,58920615890.0,627519329.3542182
951,8,135708405434.0,1875055680.2748475
951,414,58920615890.0,814094271.8803601
952,8,135708405434.0,35991888275.570595
952,414,58920615890.0,15626623991.776596
953,8,135708405434.0,13853420582.491007
953,414,58920615890.0,6014749567.598053
954,8,135708405434.0,6522561449.686417
954,414,58920615890.0,2831905190.8895993
955,8,135708405434.0,3170264942.059888
955,414,58920615890.0,1376436207.6414533
956,8,135708405434.0,3078594891.0047526
956,414,58920615890.0,1336635755.7124596
957,8,135708405434.0,3475338900.846398
957,414,58920615890.0,1508890387.5149589
958,8,135708405434.0,14582869829.388018
958,414,58920615890.0,6331455071.212352
959,8,135708405434.0,13129435949.12445
959,414,58920615890.0,5700416639.166443
960,8,135708405434.0,1808501845.9211214
960,414,58920615890.0,785198545.8019214
961,8,135708405434.0,2438766301.5043488
961,414,58920615890.0,1058840917.3099978
962,8,135708405434.0,1484812782.124781
962,414,58920615890.0,644662232.4118618
963,8,135708405434.0,80042754862.47786
963,414,58920615890.0,34752220387.13832
964,8,135708405434.0,2779085239.2468095
964,414,58920615890.0,1206597435.0193472
965,8,135708405434.0,51678956752.97435
965,414,58920615890.0,22437489783.334
966,8,135708405434.0,6232105865.181256
966,414,58920615890.0,2705797881.0807233
967,8,135708405434.0,1921362778.964863
967,414,58920615890.0,834199458.1889685
968,8,135708405434.0,15205959956.124624
968,414,58920615890.0,6601982559.210536
969,8,135708405434.0,20886958317.768604
969,414,58920615890.0,9068505699.525045
970,8,135708405434.0,2701998243.6412554
970,414,58920615890.0,1173128518.752418
971,8,135708405434.0,8676441234.365034
971,414,58920615890.0,3767056724.5063195
972,8,135708405434.0,13922145770.846546
972,414,58920615890.0,6044588032.003515
973,8,135708405434.0,3306205347.8798227
973,414,58920615890.0,1435457551.3057005
974,8,135708405434.0,9762657286.482729
974,414,58920615890.0,4238659928.2703247
975,8,135708405434.0,1994184802.716322
975,414,58920615890.0,865816648.561741
976,8,135708405434.0,12570423812.026276
976,414,58920615890.0,5457709937.9678335
977,8,135708405434.0,11809867074.582727
977,414,58920615890.0,5127498472.833076
978,8,135708405434.0,9523214042.846796
978,414,58920615890.0,4134700683.147591
979,8,135708405434.0,3053033964.8477182
979,414,58920615890.0,1325537950.0380445
980,8,135708405434.0,1463642281.8965993
980,414,58920615890.0,635470621.1173757
981,8,135708405434.0,3027462782.94864
981,414,58920615890.0,1314435691.6207376
982,8,135708405434.0,3167917183.5110154
982,414,58920615890.0,1375416879.6254902
983,8,135708405434.0,48770964968.41719
983,414,58920615890.0,21174924900.921486
984,8,135708405434.0,18155952888.93975
984,414,58920615890.0,7882783110.33887
985,8,135708405434.0,5657870589.459184
985,414,58920615890.0,2456481738.848374
986,8,135708405434.0,1841644828.0621386
986,414,58920615890.0,799588258.1703988
987,8,135708405434.0,9691561368.935783
987,414,58920615890.0,4207792162.668525
988,8,135708405434.0,2938986659.2205224
988,414,58920615890.0,1276021949.4140632
989,8,135708405434.0,26413170629.396427
989,414,58920615890.0,11467825269.294561
990,8,135708405434.0,2570399807.1776657
990,414,58920615890.0,1115992331.0431998
991,8,135708405434.0,3251592774.281753
991,414,58920615890.0,1411746370.9890091
992,8,135708405434.0,7936877858.474419
992,414,58920615890.0,3445959962.2401457
993,8,135708405434.0,2052474112.8925881
993,414,58920615890.0,891124160.2402209
994,8,135708405434.0,16292470462.450686
994,414,58920615890.0,7073713606.369744
995,8,135708405434.0,4654700231.902936
995,414,58920615890.0,2020934543.9581375
996,8,135708405434.0,7506517015.135287
996,414,58920615890.0,3259109885.6852818
997,8,135708405434.0,2152447342.6966996
997,414,58920615890.0,934529609.2522609
998,8,135708405434.0,49156110141.34872
998,414,58920615890.0,21342143657.369278
999,8,135708405434.0,15287254141.198002
999,414,58920615890.0,6637278113.951458
1000,8,135708405434.0,30558974410.53983
1000,414,58920615890.0,13267811875.598465
1248,414,106166812577.0,11599281428.551641
1249,414,106166812577.0,1233690790.585308
1250,414,106166812577.0,114469404839.53401
1251,414,106166812577.0,114732613583.22655
1252,414,106166812577.0,1636665165.0351427
1253,414,106166812577.0,1546837323.4607368
1254,414,106166812577.0,1740593536.3109915
1255,414,106166812577.0,8499643202.238725
1256,414,106166812577.0,12321943253.240414
1257,414,106166812577.0,9300047531.944204
1258,414,106166812577.0,2830483578.155925
1259,414,106166812577.0,3689952856.6369214
1260,414,106166812577.0,2720442575.9616666
1261,414,106166812577.0,17569023179.098614
1262,414,106166812577.0,1464558324.694648
1263,414,106166812577.0,21286001016.071045
1264,414,106166812577.0,8952324535.04672
1265,414,106166812577.0,122960507885.01611
1266,414,106166812577.0,77493400263.76735
1267,414,106166812577.0,20514986375.90826
1268,414,106166812577.0,3205934270.1558766
1269,414,106166812577.0,135921870254.62137
1270,414,106166812577.0,1082778960.1796534
1271,414,106166812577.0,231313247116.9122
1272,414,106166812577.0,27138515366.407898
1273,414,106166812577.0,8030599428.958978
1274,414,106166812577.0,187383634392.69788
1275,414,106166812577.0,3824677828.982538
1276,414,106166812577.0,1309216767.5662663
1277,414,106166812577.0,58008032233.77248
1278,414,106166812577.0,16428539015.800644
1279,414,106166812577.0,53938732854.10369
1280,414,106166812577.0,4684090876.529753
1281,414,106166812577.0,25817309978.041927
1282,414,106166812577.0,8802601569.919134
1283,414,106166812577.0,42400973097.716675
1284,414,106166812577.0,1742631476.3101003
1285,414,106166812577.0,11831578622.816402
1286,414,106166812577.0,26962022742.44664
1287,414,106166812577.0,188049224585.13824
1288,414,106166812577.0,6472553057.612988
1289,414,106166812577.0,10029649099.596994
1290,414,106166812577.0,2575918657.7510715
1291,414,106166812577.0,17103114397.441994
1292,414,106166812577.0,1353916765.3898976
1293,414,106166812577.0,9799410959.245579
1294,414,106166812577.0,12173737755.802557
1295,414,106166812577.0,34203580998.18799
1296,414,106166812577.0,116754621211.58224
1297,414,106166812577.0,12064987093.56111
1298,414,106166812577.0,8725780497.773829
1299,414,106166812577.0,32116703044.47427
1300,414,106166812577.0,21834564893.44651
1301,414,106166812577.0,8015279580.857382
1302,414,106166812577.0,2414481651.0405264
1303,414,106166812577.0,4402609096.5915365
1304,414,106166812577.0,6462042360.964381
1305,414,106166812577.0,5389491723.279337
1306,414,106166812577.0,5557011132.063596
