trade_id,factor_id,coefficient,impact_value
11033,8,66323947830.0,2628499820.651854
11202,8,74484664398.0,12763821482.499493
11203,8,74484664398.0,3770506697.1708646
11204,8,74484664398.0,1146697056.512275
11205,8,74484664398.0,5768614179.198482
11206,8,74484664398.0,44378036332.89588
11207,8,74484664398.0,2917480178.3091936
11208,8,74484664398.0,11318708357.530998
11209,8,74484664398.0,1155651954.806242
11210,8,74484664398.0,72132644204.0438
11211,8,74484664398.0,71064991058.9134
11212,8,74484664398.0,19016665798.483353
11213,8,74484664398.0,951884135.5650764
11214,8,74484664398.0,3281679843.8837337
11215,8,74484664398.0,112130233809.02702
11216,8,74484664398.0,65813530173.27449
11217,8,74484664398.0,2187954522.830891
11218,8,74484664398.0,1496698448.4172976
11219,8,74484664398.0,2695123196.4442024
11220,8,74484664398.0,39455514068.52691
11221,8,74484664398.0,78613521712.77756
11222,8,74484664398.0,30575256627.0426
11223,8,74484664398.0,57566521706.15112
11224,8,74484664398.0,121876715833.74864
11225,8,74484664398.0,117832481647.077
11226,8,74484664398.0,4410662943.431275
11227,8,74484664398.0,65839720012.81494
11228,8,74484664398.0,11164807050.516977
11229,8,74484664398.0,47599509283.33978
11230,8,74484664398.0,15796404471.37956
11231,8,74484664398.0,34361914785.357704
11232,8,74484664398.0,2555808816.525782
11233,8,74484664398.0,1147555610.849048
11234,8,74484664398.0,20886745776.632347
11235,8,74484664398.0,2167465223.7865405
11236,8,74484664398.0,1981496154.1965945
11237,8,74484664398.0,6597662189.991063
11238,8,74484664398.0,14247788987.274492
11239,8,74484664398.0,3790001772.6132545
11240,8,74484664398.0,2052542549.9223287
11241,8,74484664398.0,67760605928.038124
11242,8,74484664398.0,6279236392.374644
11243,8,74484664398.0,842679714.6576104
11244,8,74484664398.0,34151923530.502243
11245,8,74484664398.0,76248097382.18636
11246,8,74484664398.0,2246464012.448107
11247,8,74484664398.0,8394679278.248371
11248,8,74484664398.0,122540421077.16199
11249,8,74484664398.0,13769618000.723974
11250,8,74484664398.0,1365794563.1850207
11251,8,74484664398.0,52961203534.50699
11252,8,74484664398.0,22402593814.55637
