trade_id,factor_id,coefficient,impact_value
5,414,228098538248.0,144655043213.81567
6,414,228098538248.0,152309460373.42868
7,414,228098538248.0,822149966295.2777
8,414,228098538248.0,144999367157.8837
9,414,228098538248.0,785078833822.982
10,414,228098538248.0,2412036501166.72
11,414,228098538248.0,64583331366.41406
12,414,228098538248.0,22576216791.638783
13,414,228098538248.0,64255638544.563484
14,414,228098538248.0,7471700501.6403055
15,414,228098538248.0,22040017401.2492
16,414,228098538248.0,241969449273.83185
17,414,228098538248.0,1942430254879.8933
18,414,228098538248.0,40086216680.45297
19,414,228098538248.0,1401270798179.9536
20,414,228098538248.0,67297694228.56429
21,414,228098538248.0,11742710407.4304
22,414,228098538248.0,719620072942.6641
23,414,228098538248.0,7396036287.300834
24,414,228098538248.0,2568481658.814588
25,414,228098538248.0,7807033744.905787
26,414,228098538248.0,91151092928.44394
27,414,228098538248.0,3992907921744.176
28,414,228098538248.0,8270126285513.395
29,414,228098538248.0,341864893937.9941
30,414,228098538248.0,3132688907.475988
31,414,228098538248.0,68171036440.34457
32,414,228098538248.0,848887209383.2007
33,414,228098538248.0,5464720515844.241
34,414,228098538248.0,42112060522.38597
35,414,228098538248.0,12530519317582.96
36,414,228098538248.0,9998191953.689375
37,414,228098538248.0,35070841980.41414
38,414,228098538248.0,2393934325.1036983
39,414,228098538248.0,2516064112.497836
40,414,228098538248.0,6935909946334.504
41,414,228098538248.0,1529811129166.1956
42,414,228098538248.0,38054428369.81383
43,414,228098538248.0,10157623899.836878
44,414,228098538248.0,96315996905.12418
45,414,228098538248.0,19045050140.117702
46,414,228098538248.0,9206919745.854282
47,414,228098538248.0,3722856522711.2686
48,414,228098538248.0,44748047847.018135
49,414,228098538248.0,26476503719.79027
50,414,228098538248.0,877112301296.4854
51,414,228098538248.0,95179690862.41844
52,414,228098538248.0,240757708573.9922
53,414,228098538248.0,5878200784.66095
54,414,228098538248.0,106877897161.26527
55,414,228098538248.0,2485791318061.979
56,414,228098538248.0,38513611156.04024
57,414,228098538248.0,1399200046740.3218
58,414,228098538248.0,23807417895.136612
59,414,228098538248.0,12892980914.2674
60,414,228098538248.0,814143477978.2556
61,414,228098538248.0,246781985607.88556
62,414,228098538248.0,19930473797.79323
63,414,228098538248.0,114491423101.17282
64,414,228098538248.0,6750806826770.959
65,414,228098538248.0,8410314873.159464
66,414,228098538248.0,130686951696.26003
67,414,228098538248.0,11018048088.534931
68,414,228098538248.0,194901915400.6377
69,414,228098538248.0,15597457584.863976
70,414,228098538248.0,25852526216.30958
71,414,228098538248.0,102657665066.9788
72,414,228098538248.0,103925994936.18005
73,414,228098538248.0,587523670777.3099
74,414,228098538248.0,396153469478.7816
75,414,228098538248.0,497792979311.4459
76,414,228098538248.0,51655507609.88536
77,414,228098538248.0,31691452691.626083
78,414,228098538248.0,91550827984.77457
79,414,228098538248.0,1082249623031.0167
80,414,228098538248.0,76881857271.011
81,414,228098538248.0,387161519469.533
82,414,228098538248.0,113108753282.9663
83,414,228098538248.0,17514316965.68933
84,414,228098538248.0,2933200182.1881843
85,414,228098538248.0,31574625644.890057
86,414,228098538248.0,25936886713.6739
87,414,228098538248.0,95566897200.74852
88,414,228098538248.0,7222295693.115886
89,414,228098538248.0,23925115322.78397
90,414,228098538248.0,99839650744.6154
91,414,228098538248.0,6920370050.877103
92,414,228098538248.0,1763800207907.4512
93,414,228098538248.0,580539340871.1648
94,414,228098538248.0,8926102183.383099
95,414,228098538248.0,90931639702.52672
96,414,228098538248.0,214177009303.70255
97,414,228098538248.0,2084298717070.6062
98,414,228098538248.0,752155869378.7252
99,414,228098538248.0,966881482068.6357
100,414,228098538248.0,25503829951.26907
101,414,228098538248.0,513030209557.0607
102,414,228098538248.0,158627585023.03912
103,414,228098538248.0,6124788323.5504465
104,414,228098538248.0,317933123871.8343
105,414,228098538248.0,383467835178.62976
106,414,228098538248.0,2382193783034.8223
107,414,228098538248.0,66960831312.63797
108,414,228098538248.0,1670513972108.5115
109,414,228098538248.0,1757700575918.8433
110,414,228098538248.0,123315685502.89056
111,414,228098538248.0,5439933107.568698
112,414,228098538248.0,144444360887.17865
113,414,228098538248.0,14369424159.123285
114,414,228098538248.0,5975661581.523443
115,414,228098538248.0,26391045057.296165
116,414,228098538248.0,34655175669.539925
117,414,228098538248.0,2446254168.125964
118,414,228098538248.0,11913733414189.4
119,414,228098538248.0,12655946292.841623
120,414,228098538248.0,3854590506.698039
121,414,228098538248.0,512935443555.88135
122,414,228098538248.0,6998410742.341353
123,414,228098538248.0,18846931498.94151
124,414,228098538248.0,303901395812.7901
125,414,228098538248.0,328627512681.2923
126,414,228098538248.0,20057705450.09223
127,414,228098538248.0,42965603979.720146
128,414,228098538248.0,84603331805.80785
129,414,228098538248.0,109076045101.37859
130,414,228098538248.0,5648092306.851084
131,414,228098538248.0,6201253372035.943
132,414,228098538248.0,36405032292.08998
133,414,228098538248.0,11910410291.04207
134,414,228098538248.0,1736642888458.1304
531,414,54330856408.9,107278925793.57896
532,414,54330856408.9,63597694066.12484
533,414,54330856408.9,2750815719.259258
534,414,54330856408.9,1450243969.251123
535,414,54330856408.9,1588325916.4591937
536,414,54330856408.9,437087551001.6268
537,414,54330856408.9,1238278697117.2092
538,414,54330856408.9,149884314288.06705
539,414,54330856408.9,151918788251.06213
540,414,54330856408.9,116301652604.98383
541,414,54330856408.9,202038272636.04926
542,414,54330856408.9,84590671834.87305
543,414,54330856408.9,1157360731181.8164
544,414,54330856408.9,83365371242.05492
545,414,54330856408.9,310399173263.7568
546,414,54330856408.9,1605391161964.8164
547,414,54330856408.9,28726570147.019035
548,414,54330856408.9,8994803236.3584
549,414,54330856408.9,903930897121.5767
550,414,54330856408.9,112063506854.97891
551,414,54330856408.9,110981016537.29109
552,414,54330856408.9,2493559218429.463
553,414,54330856408.9,392183719605.68365
554,414,54330856408.9,72016990640.73308
555,414,54330856408.9,75227870216.75441
556,414,54330856408.9,996505845581.646
557,414,54330856408.9,26544425707.361794
558,414,54330856408.9,9980678254.960703
559,414,54330856408.9,742529830023.127
560,414,54330856408.9,2226577474.7270675
561,414,54330856408.9,8278229195.700229
562,414,54330856408.9,1966728618201.3137
563,414,54330856408.9,1268185427186.048
564,414,54330856408.9,29609306485.785095
565,414,54330856408.9,581129874.3873061
566,414,54330856408.9,9244834142.728579
567,414,54330856408.9,190039546732.34195
568,414,54330856408.9,13169200081.475235
569,414,54330856408.9,12358007244.17737
570,414,54330856408.9,1680303659944.5923
571,414,54330856408.9,67513662818.6779
572,414,54330856408.9,71294773989.87682
573,414,54330856408.9,366149404926.53345
574,414,54330856408.9,8859328592.954575
575,414,54330856408.9,1530203371.6708193
576,414,54330856408.9,196301565743.86084
577,414,54330856408.9,1716061182.5792112
578,414,54330856408.9,1320837776.375529
579,414,54330856408.9,286405950167.07
580,414,54330856408.9,16315575977.811077
581,414,54330856408.9,1078808973.903145
582,414,54330856408.9,1785320448.7002182
583,414,54330856408.9,77006754349.70572
584,414,54330856408.9,45981559589.943794
585,414,54330856408.9,710998452.9665333
586,414,54330856408.9,234744256978.7708
587,414,54330856408.9,15809121848.003183
588,414,54330856408.9,324114985807.11115
589,414,54330856408.9,6559406403.974396
590,414,54330856408.9,7284683728.969596
591,414,54330856408.9,10492432973.912954
592,414,54330856408.9,1915044206.1432564
593,414,54330856408.9,76615043819.2429
594,414,54330856408.9,75871741868.83464
595,414,54330856408.9,5381398337.0286455
