trade_id,factor_id,coefficient,impact_value
15008,8,66323947830.0,2310244607.780343
15009,8,66323947830.0,1666053556.698417
15010,8,66323947830.0,3866207236.4585342
15014,8,59289732070.0,1508125711.9426188
15015,8,59289732070.0,1077528961.96469
15016,8,59289732070.0,7240118266.584053
15017,8,59289732070.0,10323705360.353668
15018,8,59289732070.0,60226824001.731186
15019,8,59289732070.0,3156282519.9422874
15020,8,59289732070.0,10511776577.520588
15021,8,59289732070.0,599829816.1290902
15022,8,59289732070.0,1050778763.2826558
15023,8,59289732070.0,815074553212.3036
15024,8,59289732070.0,716143326505.8518
15025,8,59289732070.0,718864328571.4152
15026,8,59289732070.0,1293767371.371941
15027,8,59289732070.0,7966061833.857226
15028,8,59289732070.0,1708448924824.178
15029,8,59289732070.0,22516406984.95069
15030,8,59289732070.0,8791527920.457237
15031,8,59289732070.0,951308758.6679918
15032,8,59289732070.0,17828006433.328644
15033,8,59289732070.0,159526723010.9871
15034,8,59289732070.0,950170340.8625239
15035,8,59289732070.0,34268553599.636612
15036,8,59289732070.0,114484721929.07439
15037,8,59289732070.0,7757470299.133449
15038,8,59289732070.0,15818458632.230574
15039,8,59289732070.0,3207776949.9609513
15040,8,59289732070.0,49119041929.42722
15576,8,74484664398.0,15486582491.250572
15577,8,74484664398.0,8199179764.018293
15578,8,74484664398.0,9885669868.215153
15579,8,74484664398.0,110987217771.15503
15580,8,74484664398.0,511775307919.4411
15581,8,74484664398.0,5635668610.732866
15582,8,74484664398.0,38002946004.55025
15583,8,74484664398.0,2957578681.796334
15584,8,74484664398.0,393172356675.90814
15585,8,74484664398.0,80954498984.75871
15586,8,74484664398.0,12906103614.325388
15587,8,74484664398.0,231351749890.0239
15588,8,74484664398.0,195185613412.07507
15589,8,74484664398.0,481315685372.30896
15590,8,74484664398.0,16390678920.159245
15591,8,74484664398.0,752789110.0392206
15592,8,74484664398.0,39792146056.52477
15593,8,74484664398.0,391990228100.1926
15594,8,74484664398.0,2861073852.6324406
15595,8,74484664398.0,787400528.2542416
15596,8,74484664398.0,721444576220.5289
15597,8,74484664398.0,4436958389.62304
15598,8,74484664398.0,12674900034.198101
15599,8,74484664398.0,225421049191.8436
15600,8,74484664398.0,231986366160.0032
15601,8,74484664398.0,43602593646.48585
15602,8,74484664398.0,1206445740.7874603
15603,8,74484664398.0,1597724692723.9922
15604,8,74484664398.0,41845679463.59548
15605,8,74484664398.0,22575955301.401867
15606,8,74484664398.0,4135465154.4827375
15607,8,74484664398.0,69439221424.05875
15608,8,74484664398.0,874254936805.9329
15609,8,74484664398.0,727473649728.9065
15610,8,74484664398.0,6295490690.61437
15611,8,74484664398.0,9407044016.258099
15612,8,74484664398.0,1574436136.30978
15613,8,74484664398.0,97612816089.75276
15614,8,74484664398.0,7070890235.849416
15615,8,74484664398.0,919938014.9448134
15616,8,74484664398.0,4042353362.2475963
15617,8,74484664398.0,221521265861.08856
15618,8,74484664398.0,6236494436.013598
15619,8,74484664398.0,47458135891.755424
15620,8,74484664398.0,87441075149.8841
15621,8,74484664398.0,2715735363.4468937
15622,8,74484664398.0,65208249772.75947
15623,8,74484664398.0,270321172668.45074
15624,8,74484664398.0,7673041274.648598
15625,8,74484664398.0,974019204.1953332
15626,8,74484664398.0,4206704638.4352045
15627,8,74484664398.0,2863818205.6728215
15628,8,74484664398.0,10171152138.075207
15629,8,74484664398.0,27127550320.03212
15630,8,74484664398.0,15324465029.08971
15631,8,74484664398.0,19638062924.323647
15632,8,74484664398.0,238205817405.6249
15633,8,74484664398.0,261820790541.79822
15634,8,74484664398.0,234052301363.2077
15635,8,74484664398.0,5486480939.394179
15636,8,74484664398.0,13101055119.852642
